oṃnamaḥśukrabṛhaspatibhyāṃ	Óm Salutation to Sukra and Brihaspati
balavatā vigṛhya uparodhahetavaḥ,	considerations about an enemy in the rear; recruitment of lost power;
daṇḍaupanatavṛttam, daṇḍaupanāyivṛttam,	the attitude of a conquered enemy; the attitude of a conquered king;
samādhimokṣaḥ,	making peace and breaking it;
madhyamacaritam,	the conduct of a Madhyama king;
udāsīnacaritam, maṇḍalacaritaṃ iti ṣāḍguṇyaṃ saptamam adhikaraṇam //	of a neutral king and of a circle of states Concerning Vices and Calamities The aggregate of the calamities of the elements of sovereignty;
rājarājyayor vyasanacintā,	considerations about the troubles of the king and his kingdom;
puruṣavyasanavargaḥ,	the aggregate of the troubles of men;
pīḍanavargaḥ,	the group of molestations;
stambhavargaḥ, kośasaṅgavargaḥ,	the group of obstructions; and the group of financial troubles;
mitravyasanavargaḥ iti vyasanaādhikārikam aṣṭamam adhikaraṇam //	the group of troubles of the army; and the group of troubles of a friend The Work of an Invader
śaktideśakālabalaabalajñānam,	The knowledge of power, place, time, strength and weakness;
yātrākālāḥ,	the time of invasion;
balaupādānakālāḥ, samnāhaguṇāḥ,	the time for recruiting the army; the form of equipment;
pratibalakarma,	the work of arraying a rival force;
paścāt kopacintā,	considerations of annoyance in the rear;
bāhyaābhyantaraprakṛtikopapratīkārāḥ kṣayavyayalābhaviparimarśaḥ,	remedies against internal and external troubles; consideration about loss of men, wealth and profit Kautilyas Arthashastra Internal and external dangers;
bāhyaābhyantarāś caāpadaḥ, duṣyaśatrusamyuktāḥ,	persons associated with traitors and enemies; doubts about wealth and harm;
arthaanarthasaṃśayayuktāḥ, tāsām upāyavikalpajāḥ siddhayaḥ ity abhiyāsyat karma navamam adhikaraṇam //	and success to be obtained by the employment of alternative strategic means Relating to War
skandhaāvāraniveśaḥ,	Encampment; march of the camp;
balavyasanaavaskandakālarakṣaṇam,	protection of the army in times of distress and attack;
kūṭayuddhavikalpāḥ,	forms of treacherous fights;
svasainyautsāhanam, svabalaanyabalavyāyogaḥ,	encouragement to ones own army; the fight between ones own and enemys armies;
yuddhabhūmayaḥ,	battlefields;
pattyaśvarathahastikarmāṇi,	the work of infantry, cavalry, chariots and elephants;
pakṣakakṣaurasyānāṃ balaagrato vyūhavibhāgaḥ,	distinctive array of troops in respect of wings, flanks and front; distinction between strong and weak troops;
pattyaśvarathahastiyuddhāni, daṇḍabhogamaṇḍalaasaṃhatavyūhavyūhanam,	battles with infantry, cavalry, chariots and elephants; the array of the army like a staff, a snake, a circle or in detached order;
tasya prativyūhasthāpanaṃ iti sāṃgrāmikaṃ daśamam adhikaraṇam //	the array of the army against that of an enemy The Conduct of Corporations
bhedaupādānāni,	Causes of dissension;
dūtakarma, mantrayuddham, senāmukhyavadhaḥ,	secret punishment Concerning a Powerful Enemy The duties of a messenger;
maṇḍalaprotsāhanam, śastraagnirasapraṇidhayaḥ, vīvadhaāsāraprasāravadhaḥ,	battle of intrigue; slaying the commanderinchief, and inciting a circle of states; spies with weapons, fire, and poison;
daṇḍaatisaṃdhānam,	destruction of supply of stores, and of granaries;
ekavijayaḥ ity ābalīyasaṃ dvādaśam adhikaraṇam // upajāpaḥ, yogavāmanam,	capture of the enemy by means of secret contrivances or by means of the army; and complete victory Strategic Means to Capture a Fortress
apasarpapraṇidhiḥ,	Sowing the seeds of dissension;
paryupāsanakarma, avamardaḥ,	the work of spies in a siege; the operation of a siege;
labdhapraśamanaṃ iti durgalambhaupāyas trayodaśam adhikaraṇam //	Kautilyas Arthashastra restoration of peace in a conquered country Secret Means
parabalaghātaprayogaḥ,	Means to injure an enemy;
pralambhanam,	wonderful and delusive contrivances;
svabalaupaghātapratīkāraḥ ity aupaniṣadikaṃ caturdaśam adhikaraṇam //	remedies against the injuries of ones own army The Plan of a Treatise Paragraphical divisions of this treatise
śāstrasamuddeśaḥ pañcadaśaadhikaraṇāni saaśītiprakaraṇaśataṃ sapañcāśadadhyāyaśataṃ ṣaṭślokasahasrāṇiiti //	Such are the contents of this Science There are on the whole books, 0 chapters, 0 sections and ,000 slokas
sukhagrahaṇavijñeyaṃ tattvaarthapadaniścitam / kauṭilyena kṛtaṃ śāstraṃ vimuktagranthavistaram //	This Sástra, bereft of undue enlargement and easy to grasp and understand, has been composed by Kautilya in words the meaning of which has been definitely settled CHAPTER THE END OF SCIENCES
ānvīkṣikī trayī vārttā daṇḍanītiś caiti vidyāḥ //	ANVIKSHAKI, the triple Védas Trayi, Várta agriculture, cattlebreeding and trade, and DandaNiti science of government are what are called the four sciences
trayī vārttā daṇḍa nītiś caiti mānavāḥ // trayī viśeṣo hy ānvīkṣikīiti //	The school of Manu Manava hold that there are only three sciences the triple Vedas, Varta and the science of government, Kautilyas Arthashastra inasmuch as the science of Anvikshaki is nothing but a special branch of the Vedas
vārttā daṇḍanītiś caiti bārhaspatyāḥ // saṃvaraṇamātraṃ hi trayī lokayātrāvida iti //	The school of Brihaspati say that there are only two sciences Varta and the science of government, inasmuch as the Triple Vedas are merely an abridgment Samvarana, pretext? for a man experienced in affairs temporal Lokayatravidah
daṇḍanītir ekā vidyāity auśanasāḥ //	The school of Usanas declare that there is only one science, and that the science of government;
tasyāṃ hi sarvavidyāārambhāḥ pratibaddhā iti //	for, they say, it is in that science that all other sciences have their origin and end
catasra eva vidyā iti kauṭilyaḥ //	But Kautilya holds that four and only four are the sciences;
tābhir dharmaarthau yad vidyāt tad vidyānāṃ vidyātvam //	wherefore it is from these sciences that all that concerns righteousness and wealth is learnt, therefore they are so called
sāṃkhyaṃ yogo lokāyataṃ caity ānvīkṣikī //	Anvikshaki comprises the Philosophy of Sankhya, Yoga, and Lokayata Atheism ?
/ dharmaadharmau trayyām arthaanarthau vārttāyāṃ nayaanayau daṇḍanītyāṃ	Righteous and unrighteous acts Dharmadharmau are learnt from the triple Vedas; wealth and nonwealth from Varta;
balaabale ca etāsāṃ hetubhir anvīkṣamāṇā lokasya upakaroti vyasaneabhyudaye ca buddhim avasthāpayati prajñāvākyakriyāvaiśāradyaṃ ca karoti //	the expedient and the inexpedient Nayanayau, as well as potency and impotency Balabale from the science of government When seen in the light of these sciences, the science of Anvikshaki is most beneficial to the world, keeps the mind steady and firm in weal and woe alike, and bestows excellence of foresight, speech and action
pradīpaḥ sarvavidyānām upāyaḥ sarvakarmaṇām / āśrayaḥ sarvadharmāṇāṃ śaśvad ānvīkṣikī matā //	Light to all kinds of knowledge, easy means to accomplish all kinds of acts and receptacle of all kinds of virtues, is the Science of Anvikshaki ever held to be CHAPTER THE END OF SCIENCES
sāmaṛgyajurvedās trayas trayī //	THE three Vedas, Sama, Rik and Yajus, constitute the triple Vedas
atharvavedaitihāsavedau ca vedāḥ //	These together with Atharvaveda and the Itihasaveda are known as the Vedas
śikṣā kalpo vyākaraṇaṃ niruktaṃ chandovicitir jyotiṣam iti caaṅgāni //	Siksha Phonetics, Kalpa ceremonial injunctions, Vyakarana grammar, Nirukta glossarial explanation of obscure Vedic terms, Chandas Prosody, and Astronomy form the Angas
eṣa trayīdharmaś caturṇāṃ varṇānām āśramāṇāṃ ca svadharmasthāpanād aupakārikaḥ //	As the triple Vedas definitely determine the respective duties of the four castes and of the four orders of religious life, they are the most useful
svadharmo brāhmaṇasya adhyayanam adhyāpanaṃ yajanaṃ yājanaṃ dānaṃ pratigrahaś ca //	The duty of the Brahman is study, teaching, performance of sacrifice, officiating in others sacrificial performance and the giving and receiving of gifts
kṣatriyasyaadhyayanaṃ yajanaṃ dānaṃ śastraājīvo bhūtarakṣaṇaṃ ca //	That of a Kshatriya is study, performance of sacrifice, giving gifts, military occupation, and protection of life
vaiśyasyaadhyayanaṃ yajanaṃ dānaṃ kṛṣipāśupālye vaṇijyā ca //	That of a Vaisya is study, performance of sacrifice, giving gifts, agriculture, cattle breeding, and trade
śūdrasya dvijātiśuśrūṣā vārttā kārukuśīlavakarma ca //	That of a Sudra is the serving of twiceborn dvijati, agriculture, cattlebreeding, and trade varta, the profession of artizans and courtbards karukusilavakarma
gṛhasthasya svadharmaājīvas tulyair asamānaṛṣibhir vaivāhyam ṛtugāmitvaṃ devapitratithipūjā bhṛtyeṣu tyāgaḥ śeṣabhojanaṃ	Kautilyas Arthashastra The duty of a householder is earning livelihood by his own profession, marriage among his equals of different ancestral Rishis, intercourse with his wedded wife after her monthly ablution, gifts to gods, ancestors, guests, and servants, and the eating of the remainder
brahmacāriṇaḥ svādhyāyo agnikāryaabhiṣekau bhaikṣavratitvam ācārye prāṇaantikī vṛttis tadabhāve guruputre sabrahmacāriṇi vā //	That of a student Brahmacharin is learning the Vedas, fireworship, ablution, living by begging, and devotion to his teacher even at the cost of his own life, or in the absence of his teacher, to the teachers son, or to an elder classmate
vānaprasthasya brahmacaryaṃ bhūmau śayyā jaṭāajinadhāraṇam agnihotraabhiṣekau devatāpitratithipūjā vanyaś caāhāraḥ //	That of a Vanaprastha forestrecluse is observance of chastity, sleeping on the bare ground, keeping twisted locks, wearing deerskin, fireworship, ablution, worship of gods, ancestors, and guests, and living upon food stuffs procurable in forests
parivrājakasya jitaindriyatvam anārambho niṣkiṃcanatvaṃ saṅgatyāgo bhaikṣavratam anekatraaraṇye ca vāso bāhyaābhyantaraṃ ca	That of an ascetic retired from the world Parivrajaka is complete control of the organs of sense, abstaining from all kinds of work, disowning money, keeping from society, begging in many places, dwelling in forests, and purity both internal and external
sarveṣām ahiṃsā satyaṃ śaucam anasūya ānṛśaṃsyaṃ kṣamā ca //	Harmlessness, truthfulness, purity, freedom from spite, abstinence from cruelty, and forgiveness are duties common to all
svadharmaḥ svargāyaānantyāya ca //	The observance of ones own duty leads one to Svarga and infinite bliss Anantya
tasyaatikrame lokaḥ saṃkarād ucchidyeta //	When it is violated, the world will come to an end owing to confusion of castes and duties
tasmāt svadharmaṃ bhūtānāṃ rājā na vyabhicārayet /	Hence the king shall never allow people to swerve from their duties;
svadharmaṃ saṃdadhāno hi pretya caiha ca nandati // vyavasthitaāryamaryādaḥ kṛtavarṇaāśramasthitiḥ /	for whoever upholds his own duty, ever adhering to the customs of the Aryas, and following the rules of caste and divisions of religious life, will surely
trayyāabhirakṣito lokaḥ prasīdati na sīdati //	For the world, when maintained in accordance with injunctions of the triple Vedas, will surely progress, but never perish
kṛṣipāśupālye vaṇijyā ca vārtā dhānyapaśuhiraṇyakupyaviṣṭipradānād aupakārikī //	AGRICULTURE, cattlebreeding and trade constitute Varta It is most useful in that it brings in grains, cattle, gold, forest produce kupya, and free labour vishti
tayā svapakṣaṃ parapakṣaṃ ca vaśīkaroti kośadaṇḍābhyām //	It is by means of the treasury and the army obtained solely through Varta that the king can hold under his control both his and his enemys party
ānvīkṣikī trayī vārttānāṃ yogakṣemasādhano daṇḍaḥ,	That sceptre on which the wellbeing and progress of the sciences of Anvikshaki, the triple Vedas, and Varta depend is known as Danda punishment
tasya nītir daṇḍa nītiḥ,	That which treats of Danda is the law of punishment or science of government dandaniti
alabdhalābhaarthā labdhaparirakṣaṇī rakṣitavivardhanī vṛddhasya tīrthe pratipādanī ca //	It is a means to make acquisitions, to keep them secure, to improve them, and to distribute among the deserved the profits of improvement
tasyām āyattā lokayātrā //	It is on this science of government that the course of the progress of the world depends
tasmāl lokayātrāarthī nityam udyatadaṇḍaḥ syāt //	Hence, says my teacher, whoever is desirous of the progress of the world shall ever hold the sceptre raised udyatadanda
naiti kauṭilyaḥ // tīkṣṇadaṇḍo hi bhūtānām udvejanīyo bhavati //	Never can there be a better instrument than the sceptre to bring people under control No, says Kautilya; for whoever imposes severe punishment becomes repulsive to the people;
mṛdudaṇḍaḥ paribhūyate //	while he who awards mild punishment becomes contemptible
yathāarhadaṇḍaḥ pūjyate //	But whoever imposes Kautilyas Arthashastra punishment as deserved becomes respectable
suvijñātapraṇīto hi daṇḍaḥ prajā dharmaarthakāmair yojayati //	For punishment danda when awarded with due consideration, makes the people devoted to righteousness and to works productive of wealth and enjoyment;
duṣpraṇītaḥ kāmakrodhābhyām avajñānād vā vānaprasthaparivrājakān api kopayati, kiṃaṅga punar gṛhasthān // apraṇītas tu mātsyanyāyam udbhāvayati //	while punishment, when illawarded under the influence of greed and anger or owing to ignorance, excites fury even among hermits and ascetics dwelling in forests, not to speak of householders But when the law of punishment is kept in abeyance, it gives rise to such disorder as is implied in the proverb of fishes matsyanyayamudbhavayati;
balīyān abalaṃ hi grasate daṇḍadharaabhāve //	for in the absence of a magistrate dandadharabhave, the strong will swallow the weak;
sa tena guptaḥ prabhavati iti //	but under his protection, the weak resist the strong
caturvarṇaāśramo loko rājñā daṇḍena pālitaḥ / svadharmakarmaabhirato vartate sveṣu vartmasu //	This people loka consisting of four castes and four orders of religious life, when governed by the king with his sceptre, will keep to their respective paths, ever devotedly adhering to their respective duties and occupations
tasmād daṇḍamūlās tisro vidyāḥ //	HENCE the first three sciences out of the four are dependent for their wellbeing on the science of government
vinayamūlo daṇḍaḥ prāṇabhṛtāṃ yogakṣemaāvahaḥ //	Danda, punishment, which alone can procure safety and security of life is, in its turn, dependent on discipline vinaya
kṛtakaḥ svābhāvikaś ca vinayaḥ //	Discipline is of two kinds artificial and natural;
kriyā hi dravyaṃ vinayati naadravyam //	for Kautilyas Arthashastra instruction kriya can render only a docile being conformable to the rules of discipline, and not an undocile being adravyam
śuśrūṣā śravaṇagrahaṇadhāraṇavijñānaūhaapohatattvaabhiniviṣṭabuddhiṃ vidyā vinayati naitaram //	The study of sciences can tame only those who are possessed of such mental faculties as obedience, hearing, grasping, retentive memory, discrimination, inference, and deliberation, but not others devoid of such faculties
vidyānāṃ tu yathāsvam ācāryaprāmāṇyād vinayo niyamaś ca //	Sciences shall be studied and their precepts strictly observed under the authority of specialist teachers
vṛttacaulakarmā lipiṃ saṃkhyānaṃ caupayuñjīta //	Having undergone the ceremony of tonsure, the student shall learn the alphabet lipi and arithmetic
vṛttaupanayanas trayīm ānvīkṣikīṃ ca śiṣṭebhyo vārttām adhyakṣebhyo daṇḍanītiṃ vaktṛprayoktṛbhyaḥ //	After investiture with sacred thread, he shall study the triple Vedas, the science of Anvikshaki under teachers of acknowledged authority sishta, the science of Vatra under government superintendents, and the science of Dandaniti under theoretical and practical politicians vaktriprayoktribhyah
brahmacaryaṃ ca ṣoḍaśād varṣāt //	He the prince shall observe celibacy till he becomes sixteen years old
ato godānaṃ dārakarma caasya //	Then he shall observe the ceremony of tonsure godana and marry
nityaś ca vidyāvṛddhasamyogo vinayavṛddhyartham, tanmūlatvād vinayasya //	In view of maintaining efficient discipline, he shall ever and invariably keep company with aged professors of sciences in whom alone discipline has its firm root
pūrvam aharbhāgaṃ hastyaśvarathapraharaṇavidyāsu vinayaṃ gacchet /	He shall spend the forenoon in receiving lessons in military arts concerning elephants, horses, chariots, and weapons, and the afternoon in hearing the Itihasa
purāṇam itivṛttam ākhyāyikaudāharaṇaṃ dharmaśāstram arthaśāstraṃ caitiitihāsaḥ //	Purana, Itivritta history, Akhyayika tales, Udaharana illustrative stories, Dharmasastra, and Arthasastra are known by the name Itihasa
śeṣam ahorātrabhāgam apūrvagrahaṇaṃ gṛhītaparicayaṃ ca kuryāt, agṛhītānām ābhīkṣṇyaśravaṇaṃ ca //	Kautilyas Arthashastra During the rest of the day and night, he shall not only receive new lessons and revise old lessons, but also hear over and again what has not been clearly understood
śrutādd hi prajñāupajāyate prajñāyā yogo yogād ātmavattāiti vidyānāṃ sāmarthyam //	For from hearing sutra ensues knowledge; from knowledge steady application yoga is possible; and from application selfpossession atmavatta is possible This is what is meant by efficiency of learning vidhyasamarthyam
vidyāvinīto rājā hi prajānāṃ vinaye rataḥ ananyāṃ pṛthivīṃ bhuṅkte sarvabhūtahite rataḥ //	The king who is well educated and disciplined in sciences, devoted to good Government of his subjects, and bent on doing good to all people will enjoy the earth unopposed CHAPTER RESTRAINT OF THE ORGANS OF SENSE
vidyā vinayahetur indriyajayaḥ kāmakrodhalobhamānamadaharṣatyāgāt kāryaḥ //	RESTRAINT of the organs of sense, on which success in study and discipline depends can be enforced by abandoning lust, anger, greed, vanity mána, haughtiness mada, and overjoy harsha
karṇatvagakṣijihvāghrāṇaindriyāṇāṃ śabdasparśarūparasagandheṣv avipratipattir indriyajayaḥ,	Absence of discrepancy avipratipatti in the perception of sound, touch, colour, flavour, and scent by means of the ear, the skin, the eyes, the tongue, and the nose, is what is meant by the restraint of the organs of sense
śāstraanuṣṭhānaṃ vā //	Strict observance of the precepts of sciences also means the same;
kṛtsnaṃ hi śāstram idam indriyajayaḥ //	for the sole aim of all the sciences is nothing but restraint of the organs of sense
tad viruddhavṛttir avaśyaindriyaś cāturanto api rājā sadyo vinaśyati // yathā dāṇḍakyo nāma bhojaḥ kāmād brāhmaṇakanyām abhimanyamānaḥ sabandhurāṣṭro vinanāśa,	Whosoever is of reverse character, whoever has not his Kautilyas Arthashastra organs of sense under his control, will soon perish, though possessed of the whole earth bounded by the four quarters For example Bhoja, known also by the name, Dándakya, making a lascivious attempt on a Bráhman maiden, perished along with his kingdom and relations;
karālaś ca vaidehaḥ //	So also Karála, the Vaideha
kopāj janamejayo brāhmaṇeṣu vikrāntaḥ, tālajaṅghaś ca bhṛguṣu //	Likewise Janamejaya under the influence of anger against Bráhmans, as well as Tálajangha against the family of Bhrigus
lobhād ailaś cāturvarṇyam atyāhārayamāṇaḥ, sauvīraś caajabinduḥ /	Aila in his attempt under the influence of greed to make exactions from Bráhmans, as well as Ajabindu, the Sauvíra in a similar attempt;
mānād rāvaṇaḥ paradārān aprayacchan, duryodhano rājyād aṃśaṃ ca //	Rávana unwilling under the influence of vanity to restore a strangers wife, as well as Duryodhana to part with a portion of his kingdom;
madād dambhodbhavo bhūtaavamānī, haihayaś caarjunaḥ //	Dambhodbhava as well as Arjuna of Haihaya dynasty being so haughty as to despise all people;
harṣād vātāpir agastyam atyāsādayan, vṛṣṇisaṃghaś ca dvaipāyanam iti //	Vátápi in his attempt under the influence of overjoy to attack Agastya, as well as the corporation of the Vrishnis in their attempt against Dvaipáyana
ete caanye ca bahavaḥ śatruṣaḍvargam āśritāḥ / sabandhurāṣṭrā rājāno vineśur ajitaindriyāḥ //	Thus these and other several kings, falling a prey to the aggregate of the six enemies and having failed to restrain their organs of sense, perished together with their kingdom and relations
śatruṣaḍvargam utsṛjya jāmadagnyo jitaindriyaḥ / ambarīṣaś ca nābhāgo bubhujāte ciraṃ mahīm //	Having driven out the aggregate of the six enemies, as well as Ambarísha of Jámadagnya famous for his restraint of the organs of sense Nábhága long enjoyed the earth Kautilyas Arthashastra CHAPTER
tasmād ariṣaḍvargatyāgenaindriyajayaṃ kurvīta,	The Life of a Saintly King HENCE by overthrowing the aggregate of the six enemies, he shall restrain the organs of sense;
vṛddhasamyogena prajñām,	acquire wisdom by keeping company with the aged;
cāreṇa cakṣuḥ,	see through his spies;
utthānena yogakṣemasādhanam, kāryaanuśāsanena svadharmasthāpanam,	establish safety and security by being ever active; maintain his subjects in the observance of their respective duties by exercising authority;
vinayaṃ vidyāupadeśena,	keep up his personal discipline by receiving lessons in the sciences;
lokapriyatvam arthasamyogena vṛttim //	and endear himself to the people by bringing them in contact with wealth and doing good to them
evaṃ vaśyaindriyaḥ parastrīdravyahiṃsāś ca varjayet,	Thus with his organs of sense under his control, he shall keep away from hurting the women and property of others;
svapnaṃ laulyam anṛtam uddhataveṣatvam anarthyasamyogam adharmasamyuktam anarthasamyuktaṃ ca vyavahāram //	avoid not only lustfulness, even in dream, but also falsehood, haughtiness, and evil proclivities; and keep away from unrighteous and uneconomical transactions
dharmaarthaavirodhena kāmaṃ seveta,	Not violating righteousness and economy, he shall enjoy his desires
na nihsukhaḥ syāt //	He shall never be devoid of happiness
samaṃ vā trivargam anyonyaanubaddham // eko hy atyāsevito dharmaarthakāmānām ātmānam itarau ca pīḍayati //	He may enjoy in an equal degree the three pursuits of life, charity, wealth, and desire, which are interdependent upon each other Any one of these three, when enjoyed to an excess, hurts not only the other two, but also itself
arthaeva pradhānaiti kauṭilyaḥ // arthamūlau hi dharmakāmāv iti //	Kautilya holds that wealth and wealth alone is important, inasmuch as charity and desire depend upon wealth for their realisation
maryādāṃ sthāpayed ācāryān amātyān vā, yaenam apāya sthānebhyo vārayeyuḥ, chāyānālikāpratodena vā rahasi pramādyantam abhitudeyuḥ //	Those teachers and ministers who keep him from falling a prey to dangers, and who, by striking the hours of the day as determined by measuring shadows chháyánálikápratodena warn Kautilyas Arthashastra him of his careless proceedings even in secret shall invariably be respected
sahāyasādhyaṃ rājatvaṃ cakram ekaṃ na vartate /	Sovereignty rájatva is possible only with assistance A single wheel can never move
kurvīta sacivāṃs tasmāt teṣāṃ ca śṛṇuyān matam //	Hence he shall employ ministers and hear their opinion
sahaadhyāyino amātyān kurvīta,	Restraint of the Organs of Sense is completed] CHAPTER
dṛṣṭaśaucasāmarthyatvāt iti bhāradvājaḥ //	CREATION OF MINISTERS THE King, says Bháradvája, shall employ his classmates as his ministers;
te hy asya viśvāsyā bhavanti iti // naiti viśālaakṣaḥ // sahakrīḍitatvāt paribhavanty enam //	for they can be trusted by him inasmuch as he has personal knowledge of their honesty and capacity No, says Visáláksha, for, as they have been his playmates as well, they would despise him
ye hy asya guhyasadharmāṇas tān amātyān kurvīta,	But he shall employ as ministers those whose secrets, possessed of in common, are well known to him
samānaśīlavyasanatvāt //	Possessed of habits and defects in common
