māhāyāne traidhātukaṃ vijñaptimātraṃ vyavasthāpyate /	In the Great Vehicle, the three realms of existence¹ are determined as being perception-only.
na khalu na yujyate / yasmāt / deśādiniyamaḥ siddhaḥ svapnavat	Reply: No, they are not illogical, because Restriction as to place, etc. is demonstrated as in a dream.
kathaṃ tāvat /	a Now how is this?
svapne vināpy arthena kvacid eva deśe kiṃcid bhramarārāmastrīpurūṣādikaṃ dṛśyate na sarvatra / tatraiva ca deśe kadācid dṛśyate na sarvakālam iti siddho vināpy arthena deśakālaniyamaḥ /	In a dream, even without an (external) object of sense or understanding, only certain things are to be seen bees, gardens, women, men, etc. and these only in certain places, and not everywhere. And even there in those places, they are to be seen only sometimes, and not all the time.
pretavat punaḥ / saṃtānāniyamaḥ siddha iti vartate / pretānām iva pretavat /	And non-restriction as to moment-series is like with the pretas.³ b The phrase "is demonstrated" continues to apply here (to make the verse read: "And non-restriction as to moment-series is demonstrated as with the pretas."
kathaṃ siddhaḥ samaṃ /	How is it demonstrated ?
sarvaiḥ pūyanadyādidarśane //	In the seeing of pus-rivers, etc. by all of them c all together.
pūyapūrṇā nadī pūyanadī /	A "pus-river" is a river filled with pus.
ghṛtaghaṭavat /	Just as one says "a ghee pot".
tulyakarmavipākāvasthā hi pretāḥ sarve 'pi pūyapūrṇāṃ nadīṃ paśyanti naika eva /	For all the pretas who are in a similar situation due to a similar retribution for action, and not just one of them, see a river filled with pus.
yathā pūyapūrṇām evaṃ mūtrapurīṣādipūrṇāṃ daṇḍāsidharaiś ca puruṣair adhiṣṭhitām ity ādigrahaṇena /	With the expression "etc." rivers full of urine and feces, guarded by men holding clubs or swords, and other such perceptions, are included also.
evaṃ saṃtānāniyamo vijñaptinām asaty apy arthe siddhaḥ //	Thus, nonrestriction as to moment-series in regard to perceptions is demonstrated even with an (external) object of sense or understanding being non-existent.
svapnopaghātavat kṛtyakriyā	And activity which has been performed is just like being affected in a dream.
yathā svapne dvayasamāpattim antareṇa śukravisargalakṣaṇaḥ svapnopaghātaḥ /	a a A case of being affected in a dream is like where semen is released even without a couple's coming together.
evaṃ tāvad anyānyair dṛṣṭāntair deśakālaniyamādicatuṣṭayaṃ siddhaṃ /	So, by theseThe Twenty Verses and Their Commentary various examples, the four-fold restriction as to place and time, and so on, is demonstrated.
narakavat punaḥ / sarvaṃ siddham iti veditavyaṃ / narakeṣv iva narakavat /	And as in a hell-state, b all of these b are demonstrated. "In a hell-state" means "among those experiencing a hell-state".
kathaṃ siddhaṃ /	How are they demonstrated ?
narakapālādidarśane taiś ca bādhane //	In the seeing of hell-guardians, etc. and in being tormented by them.
yathā hi narakeṣu nārakāṇāṃ narakapālādidarśanaṃ deśakālaniyamena siddhaṃ /	c Just as the seeing of hell-guardians, etc. by those experiencing a hell-state (and with the expression “etc.”
śvavāyasāyasaparvatādyāgamanagamanadarśanaṃ cety ādigrahaṇena / sarveṣāṃ ca naikasyaiva taiś ca tadbādhanaṃ siddham asatsv api narakapālādiṣu samānasvakarmavipākādhipatyāt /	the seeing of dogs, crows, moving mountains, and so on, is included) is demonstrated with a restriction as to place and time for all of those experiencing a hell-state, and not just for one of them, and just as their torment inflicted by them is demonstrated through the sovereignty of the common retribution for their individual actions, even though the hell-guardians, and so on, are really non-existent.
tathānyatrāpi sarvam etad deśakālaniyamādicatuṣtayaṃ siddham iti veditavyaṃ //	So the four-fold restriction as to place and time is to be known as demonstrated in yet another way.
kiṃ punaḥ kāraṇaṃ narakapālās te ca śvāno vāyasāś ca sattvā neṣyante /	Objection: But for what reason is the existence of hell-guardians, dogs, and crows (experienced in hell-states) not accepted ?
ayogāt / na hi te nārakā yujyante /	Reply: Because they are illogical.
parasparaṃ yātayatām ime nārakā ime narakapālā iti vyavasthā na syāt /	For to assume that these kinds of hell-beings have an external existence is not logical.
tulyākṛtipramāṇabalānāṃ ca parasparaṃ yātayatāṃ na tathā bhayaṃ syāt / dāhaduḥkhaṃ ca pradīptāyām ayomayyāṃ bhūmāv asahamānāḥ kathaṃ tatra parān yātayeyuḥ /	This is so because they don't feel the sufferings there themselves, or if they tormented each other mutually, there would be no difference in situation between those experiencing a hell-state and the hellguardians, and if they mutually tormented each other having equal make-ups, sizes, and strengths, there would be no fear in those experiencing a hell-state, and since they couldn't stand the burning suffering of standing on a ground made of heated iron, how could they be tormenting others?
anārakāṇāṃ vā narake kutaḥ saṃbhavaḥ /	And how could there be an arising of those not experiencing a hell-state, together with those who are ?
kathaṃ tāvat tiraścāṃ svargasaṃbhavaḥ /	Objection How is this?
evaṃ narakeṣu tiryakpretaviśeṣāṇāṃ narakapālādīnāṃ saṃbhavaḥ syāt / tiraścāṃ saṃbhavaḥ svarge yathā na narake tathā /	The arising of animals in a heaven-state may occur, so in the same way, there may be the arising of hell-guardians, etc. which have the distinct qualities of animals or pretas, in hell-states.
na pretānāṃ yatas tajjaṃ duḥkhaṃ nānubhavanti te //	Reply : There is no arising of animals in hell-states, as there is in heaven-states, nor is there any arising of pretas, since they don't experience the sufferings that are engendered there.
ye hi tiryañcaḥ svarge saṃbhavanti te tadbhājanalokasukhasaṃvartanīyena karmaṇā tatra saṃbhūtās tajjaṃ sukhaṃ pratyanubhavanti /	Those animals which arise in heaven-states experience all the pleasure that is engendered there because of (past) actions bringing pleasure to their environment.
na caiva narakapālādayo nārakaṃ duḥkhaṃ pratyanubhavanti /	But hell-guardians, etc. don't experience hellish suffering in the same way.
tasmān na tiraścāṃ saṃbhavo yukto nāpi pretānāṃ //	So the arising of animals (in hell-states) is not logical, and neither is the arising of pretas there.
nārakāṇāṃ karmabhis tatra bhūtaviśeṣāḥ saṃbhavanti varṇākṛtipramāṇabalaviśiṣṭā ye narakapālādisaṃjñāṃ pratilabhante / tathā ca pariṇamanti / yad dvidhāṃ hastavikṣepādikriyāṃ kurvanto dṛśyante bhayotpādanārthaṃ / yathā meṣākṛtayaḥ parvatā āgacchanto gacchanto 'yaḥśālmalīvane ca kaṇṭakā adhomukhībhavanta ūrddhvamukhībhavantaś ceti /	An opinion: Then it's because of the actions of those experiencing a hell-state, that special material elements arise, which have special qualities as to color, make-up, size, and strength, and are cognized as hell-guardians, etc. That's why they are constantly transforming in various ways, and appear to be shaking their hands, etc. in order to instill fear, just as mountains that look like sheep appear to be coming and going, and just as thorns in forests of iron silk-cotton trees, appear to be bowing down and rising up again.
na te na saṃbhavanty eva /	And yet it isn't that (these phenomena) aren't arising.
yadi tatkarmabhis tatra bhūtānāṃ saṃbhavas tathā / iṣyate pariṇāmaś ca kiṃ vijñānasya neṣyate //	Reply: If the arising and transformation of material elements due to the actions of those is accepted, why isn't (such arising and transformation) of a consciousness accepted ?
vijñānasyaiva tatkarmabhis tathā pariṇāmaḥ kasmān neṣyate kiṃ punar bhūtāni kalpyante //	Why is a transformation of consciousness itself due to (past) actions not accepted, and why instead are material elements constructed?
karmaṇo vāsanānyatra phalam anyatra kalpyate / tatraiva neṣyate yatra vāsanā kiṃ nu kāraṇaṃ //	And furthermore, It's being constructed that the process of impressions from actions takes place elsewhere than does its effect, and it is not being accepted that it exists there where the impressions take place : Now what is your reason for this ?
yena hi karmaṇā nārakāṇāṃ tatra tādṛśo bhūtānāṃ saṃbhavaḥ kalpyate pariṇāmaś ca tasya karmaṇo vāsanā teṣāṃ vijñānasaṃtānasaṃniviṣṭā nānyatra yatraiva ca vāsanā tatraiva tasyāḥ phalaṃ tādṛśo vijñānapariṇāmaḥ kiṃ neṣyate / yatra vāsanā nāsti tatra tasyāḥ phalaṃ kalpyata iti kim atra kāraṇaṃ //	Because it is through their action that such an arising and transformation of material elements is constructed for thoseThe Twenty Verses and Their Commentary experiencing a hell-state, and inasmuch as impressions through actions enter together into their consciousness-series, and not anywhere else, why is it that that effect is not accepted as .being such a transformation of consciousness taking place just where the impressions themselves do ? What is the reason for an effect being constructed where there is no process of impression ?
āgamaḥ kāraṇaṃ /	(You may say): By reason of scriptural authority.
yadi vijñānam eva rūpādipratibhāsaṃ syān na rūpādiko 'rthas tadā rūpādyāyatanāstitvaṃ bhagavatā noktaṃ syāt /	If consciousness were only the appearance of visibles, etc. and there were no (external) objects of visibles, etc. the existence of the sensefields of visibles, etc. would not have been spoken of by the Exalted One.
akāraṇam etad yasmāt / rūpādyāyatanāstitvaṃ tadvineyajanaṃ prati / abhiprāyavaśād uktam upapādukasattvavat //	Reply: This is no reason, because Speaking of sense-fields of visibles, etc. was intended for those to be introduced to Dharma, just as in the case of spontaneously-generated beings."
yathāsti sattva upapāduka ity uktaṃ bhagavatā abhiprāyavaśāc cittasaṃtatyanucchedam āyatyām abhipretya /	It's just like in the case where spontaneously generated beings were discussed by the Exalted One. This was done with the intention of indicating the non-discontinuity of the citta-series in the future.
nāstīha sattva ātmā vā dharmās tv ete sahetukāḥ iti vacanāt / evaṃ rūpādyāyatanāstitvam apy uktaṃ bhagavatā taddeśanāvineyajanam adhikṛtyety ābhiprāyikaṃ tad vacanaṃ //	"There is neither a sentient being, or a self, but only events along with their causes", has been stated by the Exalted One. Thus, statements were made by the Exalted One regarding the existence of the sense-fields of visibles, etc. with an intention directed at people to be introduced to the Dharma.
ko 'tra abhiprāyaḥ /	And what was the intention there ?
yataḥ svabījād vijñaptir yadābhāsā pravartate / dvividhāyatanatvena te tasyā munir abravīt //	Because their appearances continue as perceptions, because of (consciousnesses') own seeds, the Sage spoke in terms of states of two-fold sense-fields."
rūpapratibhāsā vijñaptir yataḥ svabījāt pariṇāmaviśeṣaprāptād utpadyate tac ca bījaṃ yat pratibhāsā ca sā te tasyā vijñapteś cakṣūrūpāyatanatvena yathākramaṃ bhagavān abravīt /	A perception with the appearance of visibles arises through a special transformation (in the consciousness-series). In respect to such a perception, the Exalted One spoke in terms of the sense-field of the eye and of visibles, in respect to the seed and the appearance which arises, respectively.
evaṃ yāvat spraṣṭavyapratibhāsā vijñaptir yataḥ svabījāt pariṇāmaviśeṣaprāptād utpadyate	In the same way, a perception with the appearance of tactile sensations arises.
tac ca bījaṃ yat pratibhāsā ca sā te tasyā kāyaspraṣṭavyāyatanatvena yathākranaṃ bhagavān abravīd ity ayam abhiprāyaḥ //	In respect to such a perception, the Exalted One spoke in terms of the sense-fields of the tactile body and tactile sensations, in respect to the seed and the appearance which arises, respectively.⁹ This is the intention.
evaṃ punar abhiprāyavaśena deśayitvā ko guṇāḥ /	What is the advantage of teaching with such an intention ?
tathā pudgalanairātmyapraveśo hi	In this way, there is entry into the selflessness of personality.
tathā hi deśyamāne pudgalanairātmyaṃ praviśanti /	a If the sense-fields are taught in this way, people will enter into an understanding of the selflessness of personality.
dvayād vijñānaṣaṭkaṃ pravartate /	The group of six consciousnesses evolves because of duality.
na tu kaścid eko draṣṭāsti na yāvan mantety evaṃ viditvā ye pudgalanairātmyadeśanāvineyās te pudgalanairātmyaṃ praviśanti /	But when it is known that there is not any one seer, (any one hearer, any one smeller, any one taster, any one toucher), or any one thinker, those to be introduced to Dharma through the selflessness of personality will enter into an understanding of the selflessness of personality.
anyathā punaḥ / deśanā dharmanairātmyapraveśaḥ	And in yet another way, this teaching is entry into the selflessness of events.
anyatheti vijñaptimātradeśanā / kathaṃ dharmanairātmyapraveśaḥ / vijñaptimātram idaṃ rūpādidharmapratibhāsam utpadyate na tu rūpādilakṣaṇo dharmaḥ ko 'py astīti viditvā / yadi tarhi sarvathā dharmo nāsti tad api vijñaptimātraṃ nāstīti kathaṃ tarhi vyavasthāpyate /	b "And in yet another way", etc. is in reference to how the teaching of perception-only is entry into the selflessness of events, when it becomes known that this perception-only makes an appearance of visibles, etc. arise, and that there is no experienced event with the characteristics of visibles, etc. But if there isn't an event in any way, then perception-only also isn't, so how can it be demonstrated ?
na khalu sarvathā dharmo nāstīty evaṃ dharmanairātmyapraveśo bhavati / api tu /	But it's not because there isn't an event in any way that there is entry into the selflessness of events.
kalpitātmanā //	Rather, it's in regard to a constructed self.
yo bālair dharmāṇāṃ svabhāvo grāhyagrāhakādiḥ parikalpatas tena kalpitenātmanā teṣāṃ nairātmyaṃ na tv anabhilāpyenātmanā yo buddhānāṃ viṣaya iti / evaṃ vijñaptimātrasyāpi vijñaptyantaraparikalpitenātmanā nairātmyapraveśāt vijñaptimātravyavasthāpanayā sarvadharmāṇāṃ nairātmyapraveśo bhavati na tu tadastitvāpavādāt /	all those things that constitute the "own-being" believed in by fools, that is the constructed with its "objects apprehended” and "subjects apprehendors", etc. and not in reference to the ineffable Self, which is the scope of Buddhas.¹ In the same way, one penetrates the selflessness of perception-only itself inThe Twenty Verses and Their Commentary reference to a "self" constructed by another perception¹¹, and through this determination of perception-only, there is entry into the selflessness of all events, and not by a denial of their existence.
itarathā hi vijñapter api vijñaptyantaram arthaḥ syād iti vijñaptimātratvaṃ na sidhyetārthavatītvād vijñaptīnāṃ //	Otherwise, there would be an object for this other perception because of a perception itself (i.e. either "perceptiononly" or "the perception of self" would be a real object), there would be at least one perception which has an object consisting of another perception, and the state of perception-only wouldn't be demonstrated, because of the perception's state of having objects.
kathaṃ punar idaṃ pratyetavyam anenābhiprāyeṇa bhagavatā rūpādyāyatanāstitvam uktaṃ na punaḥ santy eva tāni yāni rūpādivijñaptīnāṃ pratyekaṃ viṣayībhavanti iti / yasmāt /	But how is it to be understood that the existence of the sensefields of visibles, etc. was spoken of by the Exalted One not because those things which singly become sense-objects of the perceptions of visibles, etc. really exist, but rather with a hidden intention?
na tad ekaṃ na cānekaṃ viṣayaḥ paramāṇuśaḥ / na ca te saṃhatā yasmāt paramāṇur na sidhyati //	Because A sense-object is neither a single thing, nor several things, from the atomic point of view, nor can it be an aggregate (of atoms), so atoms can't be demonstrated.
iti / kim uktaṃ bhavati /	What is being said?
yat tadrūpādikam āyatanaṃ rūpādivijñaptīnāṃ pratyekaṃ viṣayaḥ syāt tad ekaṃ vā syād yathāvayavirūpaṃ kalpyate vaiśeṣikaiḥ / anekaṃ vā paramāṇuśaḥ /	The sense-field of visibles, etc. which consists (in a moment) of a single sense-object of a perception of visibles, etc. is either a unity, like the composite whole constructed by the Vaiśeșikas, or it is several things, from the atomic point of view, or it is an aggregation of atoms.
na tāvad ekaṃ viṣayo bhavaty avayavebhyo 'nyasyāvayavirūpasya kvacid apy agrahaṇāt /	Now, the senseobject can't be a single thing, because one can nowhere apprehend a composite whole which is different from its component parts.
nāpy anekaṃ paramāṇūnāṃ (Vvs_) pratyekam agrahaṇāt / nāpi te saṃhatā viṣayībhavanti / yasmāt paramāṇur ekaṃ dravyaṃ na sidhyati //	Nor can it be plural, because of atoms, since they can't be apprehended singly.¹ Nor does an aggregation of atoms become a sense-object, because an atom as one entity can't be demonstrated, either.
kathaṃ na sidhyati / yasmāt /	How is it that it can't be demonstrated ?
ṣaṭkena yugapad yogāt paramāṇoḥ ṣaḍaṃśatā / ṣaḍbhyo digbhyaḥ ṣaḍbhiḥ paramāṇubhir yugapad yoge sati paramāṇoḥ ṣaḍaṃśatā prāpnoti /	Because Through the simultaneous conjunction of six elements, the atom has six parts. If there is a simultaneous conjunction of six elements in six directions, the atom comes to have six parts.
ekasya yo deśas tatrānyasyāsaṃbhavāt /	For that which is the locus of one can't be the locus of another.
ṣaṇṇāṃ samānadeśatvāt piṇḍaḥ syād	If there were a common locus for the six, the agglomeration would only be one atom.
atha ya evaikasya paramāṇor deśaḥ sa eva ṣaṇṇāṃ /	b It might be maintained that the locus for each single atom is the locus of all six elements.
tena sarveṣāṃ samānadeśatvāt sarvaḥ piṇḍaḥ paramāṇumātraḥ syāt parasparāvyatirekād iti na kaścit piṇḍo dṛśyaḥ syāt //	But then, because of the common locus for all of them, the agglomeration would be only one atom, because of the mutual exclusion of occupants of a locus. And then, no agglomeration would become visible.
naiva hi paramāṇavaḥ saṃyujyante niravayavatvāt /	Nor, for that matter, can atoms join together at all, because of their state of having no parts.
saṃhatās tu parasparaṃ saṃyujyanta iti kāśmīravaibhāṣikās ta idaṃ praṣṭavyāḥ /	The Vaibhäşikas of Kashmir say, "We aren't arguing such an absurdity. It's just when they're in aggregation, that they can join together."
yaḥ paramāṇūnāṃ saṃghāto na sa tebhyo 'rthāntaram iti / paramāṇor asaṃyogāt tatsaṃghāte 'sti kasya saḥ /	But the question must be asked: Is then an aggregation of atoms not an object different from the atoms themselves? When there is no conjunction of atoms, how can there be one for their aggregations ?
na cānavayavatvena tatsaṃyogo na sidhyati //	Their conjunction is not demonstrated, for they also have no parts.
atha saṃghātā apy anyonyaṃ na saṃyujyante /	So the aggregations themselves can't mutually join together, either.
na tarhi paramāṇūnāṃ niravayavatvāt saṃyogo na sidhyatīti vaktavyaṃ /	For there is no conjunction of atoms, because of their state of having no parts. That is to say, such a thing can't be demonstrated.
sāvayavasyāpi hi saṃghātasya saṃyogānabhyupagamāt /	So even in the case of an aggregation, which does have parts, its conjunction becomes inadmissible (because there can be no aggregation of atoms unless individual atoms conjoin.
tasmāt paramāṇur ekaṃ dravyaṃ na sidhyati /	And so the atoms as one entity can't be demonstrated.
yadi ca paramāṇoḥ saṃyoga iṣyate yadi vā neṣyate / digbhāgabhedī yasyāsti tasyaikatvaṃ na yujyate /	And whether the conjunction of atoms is accepted, or isn't (To assume) the singleness of that which has divisions as to directional dimensions, is illogical.
anyo hi paramāṇoḥ pūrvadigbhāgo yāvad adhodigbhāga iti digbhāgabhede sati kathaṃ tadātmakasya paramāṇor ekatvaṃ yokṣyate /	a For one atom, there may be the directional dimension of being "in front", for another, of being "on the bottom", and if there are such divisions as to directional dimensions, how can theThe Twenty Verses and Their Commentary singleness of an atom, which partakes of such divisions, be logical ?
chāyāvṛtī katha vā	Or else, how could there be shade and blockage ?
yady ekaikasya paramāṇor digbhāgabhedo na syād ādityodaye katham anyatra chāyā bhavaty anyatrātapaḥ /	b If there were no divisions as to directional dimensions in an atom, how could there be shade in one place, light in another, when the sun is rising?
na hi tasyānyaḥ pradeśo 'sti yatrātapo na syāt /	For there could be no other location for the atom where there would be no light.
āvaraṇaṃ ca kathaṃ bhavati paramāṇoḥ paramāṇvantareṇa yadi digbhāgabhedo neṣyate /	And how could there be an obstruction of one atom by another, if divisions as to directional dimensions are not accepted ?
na hi kaścid api paramāṇoḥ parabhāgo 'sti yatrāgamanād anyenānyasya pratighātaḥ syāt /	For there would be no other part for an atom, where, through the arrival of another atom, there would be a collision with this other atom.
asati ca pratighāte sarveṣāṃ samānadeśatvāt sarvaḥ saṃghātaḥ (Vvs_) paramāṇumātraḥ syād ity uktaṃ /	And if there is no collision, then the whole aggregation of all the atoms would have the dimensions of only one atom, because of their common locus, as has been stated previously.
kim evaṃ neṣyate piṇḍasya te chāyāvṛtī na paramāṇor iti /	It may be argued: Why can't it be accepted that shade and blockage refer to an agglomeration, and not to a single atom ?
kiṃ khalu paramāṇubhyo 'nyaḥ piṇḍa iṣyate yasya te syātāṃ / nety āha /	Reply But in that case, is it being admitted that an agglomeration is something other than the atoms themselves?
anyo na piṇḍaś cen na tasya te // yadi nānyaḥ paramāṇubhyaḥ piṇḍa iṣyate na te tasyeti siddhaṃ bhavati /	If the agglomeration isn't something other, then they can't refer to it. c If it is not accepted that the agglomeration is something other than the atoms, then shade and blockage can't be demonstrated as occurring in reference to the agglomeration only.
saṃniveśaparikalpa eṣaḥ paramāṇuḥ saṃghāta iti vā // kim anayā cintayā lakṣaṇaṃ /	This is simply an attachment to mental construction. “Atoms” or “aggregations" what's the point of worrying with those, if “their basic characteristics of being visibles, etc."
tu rūpādi yadi na pratiṣidhyate /	are not refuted ?
kiṃ punas teṣāṃ lakṣaṇaṃ /	What then is their characteristic ?
cakṣurādiviṣayatvaṃ nīlāditvaṃ ca / tad evedaṃ saṃpradhāryate /	That they are in a state of being sense-objects of the eye etc., in a state of being blue, etc. It is just this which should be investigated.
yat tac cakṣurādīnāṃ viṣayo nīlapītādikam iṣyate kiṃ tad ekaṃ dravyam atha vā tad anekam iti /	If a sense-object for the eye, and so on, is accepted in the form of blue, yellow, etc. then are these one entity, or several ?
kiṃ cātaḥ /	Now what follows from this?
anekatve doṣa uktaṃ /	The flaw inherent in assuming their severalness has already been discussed (in relation to the arguments on atomic aggregation).
ekatve na krameṇetir yugapan na grahāgrahau / vicchinnānekavṛttiś ca sūkṣmānīkṣā ca no bhavet //	If their unity existed, one couldn't arrive at anything gradually, there couldn't be apprehension and non-apprehension simultaneously, there couldn't be separate, several, developments, and there would be no reason for the non-seeing of the very subtle.
yadi yāvad vicchinnaṃ nānekaṃ cakṣuṣo viṣayas tad ekaṃ dravyaṃ kalpyate pṛthivyāṃ krameṇetir na syād gamanam ity arthaḥ /	If one entity as a sense-object for the eye, with no separations, and no severalness, were constructed, then one couldn't arrive at anything gradually on the Earth: that is, there could be no act of going.
sakṛtpādakṣepeṇa sarvasya gatatvāt /	For, even with placing down a foot once, one would go everywhere.
arvāgbhāgasya ca grahaṇaṃ parabhāgasya cāgrahaṇaṃ yugapan na syāt /	There could be no apprehension of a nearer "part of something" and a non-apprehension of a more removed "part", simultaneously.
na hi tasyaiva tadānīṃ grahaṇaṃ cāgrahaṇaṃ ca yuktam /	For a concurrent apprehension and non-apprehension of the same thing isn't logical.
vicchinnasya cānekasya hastyaśvādikasyaikatra vṛttir na syād yatraiva hy ekaṃ tatraivāparam iti kathaṃ tayor viccheda iṣyate /	There would be no special development for species that are separate, such as elephants, horses, etc. and since they would all be one in that case, how could their separation be accepted?
kathaṃ vā tad ekaṃ yat prāptaṃ ca tābhyāṃ na ca prāptam antarāle tac chūnyagrahaṇāt /	And how can they be accepted as single, anyway, since there is the apprehension of an empty space between two of them?
sūkṣmāṇāṃ caudakajantūnāṃ sthūlaiḥ samānarūpāṇām anīkṣaṇaṃ na syād /	And there would be no reason for the non-seeing of subtle water-beings, since they would be visible in common with the more apparent.
yadi lakṣaṇabhedād eva dravyāntaratvaṃ kalpyate nānyathā / tasmād avaśyaṃ paramāṇuśo bhedaḥ kalpayitavyaḥ /	An otherness in entities is constructed if there is a division of characteristics, and not otherwise, so when speaking from the atomic point of view, one must by necessity construct divisions, and it cannot be demonstrated that they (the atoms) are in any way of one kind.
tasyāsiddhau rūpādīnāṃ cakṣurādiviṣayatvam asiddham iti siddhaṃ vijñaptimātraṃ bhavatīti //	With their unity undemonstrated, visibles', etc.'s state of being sense-objects of the eye, etc. is also undemonstrated, and thus perception-only is demonstrated.
pramāṇavaśād astitvaṃ nāstitvaṃ vā nirdhāryate sarveṣāṃ ca pramāṇānāṃ pratyakṣaṃ pramāṇaṃ gariṣṭam ity asaty arthe katham iyaṃ buddhir bhavati pratyakṣam iti /	If the existence and non-existence of objects of sense or understanding are being investigated by force of the means-of-cognition (direct perception, inference, appeal to reliable authority), direct perception must be recognized as being the most weighty of all means-of-cognition. But with an object of sense or understanding not existing, how can there be any cognizing which can, be termed "direct perception" ?
pratyakṣabuddhiḥ svapnādau yathā vināpy artheneti pūrvam eva jñāpitaṃ	Cognizing by direct perception is like in a dream, etc. a For it is without an object of sense or understanding, as has been made known previously.
na so 'rtho dṛśyate tasya pratyakṣatvaṃ kathaṃ mataṃ //	And when it occurs, the object is already not seen, so how can it be considered a state of direct perception ?
yadā ca sā pratyakṣabuddhir bhavatīdaṃ me pratyakṣam iti tadā na so 'rtho dṛśyate manovijñānenaiva paricchedāc cakṣurvijñānasya ca tadā niruddhatvād iti kathaṃ tasya pratyakṣatvam iṣṭaṃ /	bThe Twenty Verses and Their Commentary When a cognition through direct perception arises in the form "This is my direct perception", the object itself is already not seen, since this distinguishing takes place only through a mental consciousness, and the visual consciousness has already ceased by that time, so how can its being a direct perception be accepted?
viśeṣeṇa tu kṣaṇikasya viṣayasya tadānīṃ (Vvs_) niruddham evaṃ tad rūpaṃ rasādikaṃ vā // nānanubhūtaṃ manovijñānena smaryata ity avaśyam arthānubhavena bhavitavyaṃ tac ca darśanam ity evaṃ tadviṣayasya rūpādeḥ pratyakṣatvaṃ mataṃ asiddham idam anubhūtasyārthasya smaraṇaṃ bhavatīti / yasmāt /	This is especially true for a sense-object, which is momentary, for that visible, or taste, etc. has already ceased by that time.¹ It may be said that nothing which hasn't been experienced (by other consciousnesses) is remembered by the mental consciousness, and that this takes place by necessity as it is brought about by the experience of an object of sense or understanding, and that those can be considered to be a state of direct perception of sense-objects, visibles, etc. in this way.
uktaṃ yathā tadābhāsā vijñaptiḥ	Because It has been stated how perception occurs with its appearance.
vināpy arthena yathārthābhāsā cakṣurvijñānādikā vijñaptir utpadyate tathoktaṃ /	a It has already been stated how perceptions in the shape of eyeconsciousnesses, etc. arise with the appearance of an object, even without there being any (external) object of sense or understanding.
smaraṇaṃ tataḥ /	And remembering takes place from that.
tato hi vijñapteḥ smṛtisaṃprayuktā tatpratibhāsaiva rūpādivikalpikā manovijñaptir utpadyata iti na smṛtyutpādād arthānubhavaḥ sidhyati /	b "From that" means "from the perception". A mental perception arises with the discrimination of a visible, etc. when that appearance is linked with memory, so an experience of an (external) object can't be demonstrated through the arising of a memory.
