oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
kathamanujñetyāha śrutireva / yaddhi kiñca yatkiñca loke jñānaṃ dhanaṃ vānujānāti vidvāndhanī vā tatrānumatiṃ kurvannomityeva tadāha /	The text itself explains how the syllable is one of acquiescenceIn common practice, whatever,idea or propertyone acquiesces in,be he a teacher or a wealthy person,in expressing his agreement, he says ‘Om’;
tathā ca vedetrayastriṃśadityomiti hovācaityādinā /	eg in the Veda we find such texts as‘They are thirtythree;
tathā ca loke 'pi tavedaṃ dhanaṃ gṛhṇāmītyukta omityāha /	‘Om’ yes he said In ordinary life also, when one says to another person‘This property is yours, am taking it’, the person addressed says ‘Om’ Yes, all right
ata eṣā u evaiṣaiva samṛddhiryadanujñā yānujñā sā samṛddhistanmūlatvādanujñāyāḥ /	For this reason Acquiescence verily is prosperity; that is, what is known as ‘acquiescence’ is Prosperity itself; because acquiescence is based upon prosperity;
samṛddho hyomityanujñāṃ dadāti tasmātsamṛddhiguṇavānoṅkāra ityarthaḥ / samṛddhiguṇopāsakatvāttaddharmā sansamardhayitā ha vai kāmānāṃ yajamānasya bhavati ya etadevaṃ vidvānakṣaramudgīthamupāsta ityādi pūrvavat	hence what the text means is that the syllable ‘Om’ is prosperity itself Inasmuch as the syllable is endowed with the quality of ‘prosperity’, one who meditates upon that quality, thereby becomes endowed with that quality and thence becomes the prosperer of desires for the sacrificer, when he knows this and meditates upon this syllable, as Udgītha
teneyaṃ trayī vidyā vartate /	With this syllable does the threefold Science proceed;
om ity āśrāvayati / om iti śaṃsati / om ity udgāyati /	with Om does one recite, with Om does one direct, with Om does one sing;
etasyaiva akṣarasyāpacityai mahimnā rasena //	all this for the adoration of the same syllable;so also with the Grandeur and the Essence of this syllable, does the act of Sacrifice proceed
athedānīmakṣaraṃ stautyupāsyatvātprarocanārtham /	Now with a view to attract people to it, the Text proceeds to eulogise the syllable, on the ground of its being a fit object of worship and meditation
kathaṃ, tenākṣareṇa prakṛteneyamṛgvedādilakṣaṇā trayī vidyā trayīvidyāvihitaṃ karmetyarthaḥ /	How?With thissaid syllable,the threefold Scienceconsisting of the Ṛgveda, Yajurveda and Sāmaveda proceeds; what thus proceeds is the action prescribed by this threefold Science;
na hi trayī vidyaivā'śrāvaṇādibhirvartate karma tu tathā pravartata iti prasiddham /	because, as for the threefold Science itself, that itself does not proceed with reciting, directing and singing as mentioned in the Text; it is only the act that is known to proceed with these
kathamomityāśrāvatyomiti śaṃsatyomityudgāyatīti liṅgācca somayāga iti gamyate /	QuestionIn what way does the Act proceed with this syllable? AnswerWith ‘Om’ does one recite, with ‘Om’ does one direct and with ‘Om’ does one sing
tacca karmaitasyaivākṣarasyāpacityai pūjārtham /	This act Sacrifice is meant for the adoration of this same syllable;
paramātmapratīkaṃ hi tat /	as this syllable represents the Supreme SELF;
tadapacitiḥ paramātmana eva sā /	so that the adoration of the syllable would be the adoration of the Supreme SELF itself
svakarmaṇā tamabhyarcya siddhiṃ vindati mānavaḥiti smṛteḥ /	To this same effect there is the Smṛtitext ‘Having adored Him with his action, the man attains success’
mahimnā rasena / kiñcaitasyaivākṣarasya mahimnā mahattvena ṛtvigyajamānādiprāṇairityarthaḥ / tathaitasyaivākṣarasya rasena vrīhiyavādirasanirvṛttena haviṣetyarthaḥ /	So also with the Grandeur and the EssenceFurther with the ‘grandeur’greatnessof this same syllable,ie with the lifebreaths of the Priests and the Sacrificer;similarly with the ‘Essence’ of this syllable,ie with the offering made up of the essential portions of Vrīhi, Yava and other grains
yāgahomādyakṣareṇa kriyate / taccā'dityamupatiṣṭhate / tato vṛṣṭyādikrameṇa prāṇo 'nnaṃ ca jāyate /	It is with the syllable ‘Om that all such acts as Sacrifices, Pouring of of Libations and so forth are performed;the acts thus performed go up to the Sun, and thenceforth does it become developedthrough rain and other processesinto the Lifebreath and foodgrains;and by means of the Lifebreath and foodgrains again are sacrifices performed
prāṇairannena ca yajñastāyate / ata ucyate 'kṣarasya mahimnā rasnti //	It is for this reason that it has been declared that acts of Sacrifice proceed with the Grandeur and the Essence of this syllable
tenobhau kurutaḥ / yaś caitad evaṃ veda yaś ca na veda /	Objection Both kinds of persons perform acts with this, those who know as well as those who do not know
nānā tu vidyā cāvidyā ca /	But verily, Knowledge and Ignorance are totally distinct;
yad eva vidyayā karoti śraddhayopaniṣadā tad eva vīryavattaraṃ bhavatīti khalv etasyaivākṣarasyopavyākhyānaṃ bhavati //	and in fact, what is done with knowledge, faith and due application, that becomes more effective; thus indeed is there the expounding of this syllable itself
tatrākṣaravijñānavataḥ karma kartavyamiti sthitamābhipatitenābhareṇobhau yaścaitadakṣaramevaṃ vyākhyātaṃ veda yaśca karmamātravidakṣarayāthātmyaṃ na veda tāvubhau kurutaḥ karma / tayośca karmasāmarthyādeva phalaṃ syātkiṃ tatrākṣarayāthātmyavijñāneneti / dṛṣṭaṃ hi loke harītakīṃ bhakṣayatostadrasābhijñetarayorvirecanam /	Against this an objection is raisedWith this syllableboth kinds of persons, perform actsone who knows the syllable as describedabove, as well as one who knows only the nature of the act to be done and does not know the real character of the syllable;to both of them the results proceeding from the performance of the Act would accrue in an equal degree;what then is the need of knowing the real nature of the syllable Om?In ordinary life, it has been seen that when two persons eat the Harītakī, the purging that follows from the eating comes equally to both,to him who is cognisant of its purgative properties as also to him who is ignorant of it
naivam /	It is not so, we reply
yasmānnānā tu vidyā cāvidyā ca bhinne hi vidyāvidye /	Because Knowledge and Ignorance are totally distinct;
noṅkārasya karmāṅgatvamātravijñānameva rasatamāptisamṛddhiguṇavadvijñānaṃ kiṃ tarhi tato 'bhyadhikam /	The Knowledge of the syllable ‘Om’ being the essence of the Essences, its being endowed with the qualities of fulfilment and prosperity does not consist merely in Knowledge of that syllable being a factor of the sacrifice;
tasmāttadaṅgādhikyātphalādhikyaṃ yuktamityabhiprāyaḥ /	What is meant is that, inasmuch as it is so, the result proceeding from the former must be superior to that proceeding from the latter
dṛṣṭaṃ hi loke vaṇikśabarayoḥ padmarāgādimaṇivikraye vaṇijo vijñānādhikyātphalādhikyam /	In ordinary life also, it is found that when a merchant and a forester sell pieces of Ruby and other gems, the former who knows the real character of the gems always obtains a higher price than the latter who is ignorant;
tasmādyadeva vidyayā vijñānena yuktaḥ sankaroti karmaśraddhayā śraddadhānaśca sannupaniṣadā yogena yuktaścetyarthaḥ / tadeva karma vīryavattaramavidvatkarmaṇo 'dhikaphalaṃ bhavatīti /	From this it follows that what is done with Knowledgeby a person fully cognisantand with faithby a person imbued with due faith,and with due applicationby a person who is equipped with the faculty of concentration,that Act becomes more effective,ie more fruitfulthan the Act done by the ignorant person
vidvatkarmaṇo vīryavattaratvaṭavacanādaviduṣo 'pi karma vāryadeva bhavatītyabhiprāyaḥ /	The assertion that the Act of the man with Knowledge is ‘more effective than that of the ignorant man means that even when done by the ignorant person, the act is effective;
na cāviduṣaḥ karmaṇyanadhikāraḥ /	so that it does not mean that the ignorant man is not fit to perform the act
auṣastye kāṇḍe 'viduṣāmapyārvijyadarśanāt /	In fact in the section dealing with Uṣasti later on it is described that even ignorant persons have performed the priestly functions
rasatamāptisamṛddhiguṇavadakṣaramityekamupāsanam /	The act of meditating upon ‘Om’ as the ‘essence of essences’, as ‘fulfilment and as ‘prosperity’ forms a single act of ‘meditation’ and worship;
madhye prayatnāntarādarśanāt /	as there are no efforts intervening in between these
anekairhi viśeṣaṇairanekadhopāsyatvātkhalvetasyaiva prakṛtasyodgīthākhyasyākṣarasyopavyākhyānaṃ bhavati //	In fact, the mention of several qualities means that it is to be meditated upon several times
iti chāndogyopaniṣacchāṅkarabhāṣye prathamādhyāyasya prathama khaṇḍaḥ	Hence indeed there is expounding of this syllable ‘Om’ the Udgītha End of Section Khaṇḍa , of Discourse Adhyāya i
devāsurā ha vai yatra saṃyetire / ubhaye prājāpatyās tad dha devā udgītham ājahrur anenainān abhibhaviṣyāma iti //	On the occasion when the Devas and Asurus,both born of Prajāpati,fought each other, the Devas took away the Udgītha,thinking ‘with this shall we suppress these’
devāsurā devāścāsurāśca /	Devas and Asuras The term ‘deva’ is derived from the root ‘div’, to shine;
devā dīvyaterdyetanārthasya śāstrodbhāsitā indriyavṛttayaḥ /	hence the word ‘devas’ stands for such functionings of the senseorgans as are illuminated regulated by the scriptures;opposed to these are the ‘Asuras’
aśirāstadvirītāḥ sveṣvevāsuṣu viṣvagviṣayāsu prāṇanakriyāsu ramaṇātsvābhāvikyastama ātmikā indriyavṛttaya eva /	etymologically explained as ‘Asuṣu ramaṇāḥ’ ‘delighting in the spheres of all their own natural life’, and ‘inclinations’ as appertaining to all objects of sense; hence the term stands for those natural functions of the senseorgans which are of the nature of darkness ignorance
ha vā iti pūrvavṛttodbhāsakau nipātau /	The particles ‘havā’ are indicative of past events
sampūrvasya yatateḥ saṃgrāmārthatvamiti saṃgrāmaṃ kṛtavanta utyarthaḥ /	the root ‘Yama’ with the prefix ‘sam’ signifies fighting; hence ‘Samyetire’, means fought
śāsrīyaprakāśavṛttayabhibhavanāya pravṛttāḥ svābhāvikyastamorūpā indriyavṛttayo 'surāḥ /	That is, the natural sensual inclinations partaking of ignorance operated towards the suppression of the activities regulated by the Scriptures;
tathā tadviparītāḥ śāsrārthaviṣayavivekajyotirātmāno devā svābhāvikatamorūpāsurābhibhavanāya	and similarly as opposed to these, the Devas who are of the nature of enlightenment proceeding from discrimination due to the Scriptures, operated towards the suppression of the A suras, who are of the nature of inborn darkness or ignorance;
pravṛttā ityanyonyābhibhavodbhavarūpaḥ saṃgrāma iva sarvaprāṇiṣu pratidehaṃ devāsurasaṅgrāmo	and thus there has been something like ‘fighting’ in the shape of the suppressing of each other, in the bodies of all living beings,a veritable ‘Devāsurasaṅgrāma’ Battle between Devas and Asuras, since time, without beginning
'nādikālapravṛtta ityabhiprāyaḥ / sa ihaśrutyā'khyāyikārūpeṇa dharmādharmotpattivivekavijñānāya kathyate prāṇaviśuddhivijñānavidhiparatayā /	Such is the sense of the text It is this war that is described here, in the shape of a story, for the purpose of bringing about the knowledge of the due difference between what should be done Dharma and what should not be done Adharma,and as tending to a knowledge of the method of purification of the senses
ata ubhaye 'pi devāsurāḥ prajāpaterapatyānīti prājāpatyāḥ / prajāpatiḥ karmajñānādhikṛtaḥ puruṣaḥ / puruṣa evokthamayameva mahānprajāpatiḥiti śrutyantarāt /	Thus both these, Devas and Asuras, born of Prajāpati,ie the children of Prajāpati;‘Prajāpati’ here stands for the Personality, the Person capable of performing acts and acquiring knowledge, in accordance with the Śrutitext declaring that ‘The Person himself is Uktha, he is Mahān, he is Prajāpati;
tasya hi śāsrīyāḥ svābhāvikyaśca karaṇavṛttayo viruddhā apatyānīva tadudbhavatvāt /	and all functionings of the senseorgansboth that are in accordance with the scriptures, as well as those natural ones that are contrary to those,arise in the Person, and as such are called his ‘children
tattatrotkarṣāpakarṣalakṣaṇanimitte ha devā udgīthabhaktyupalakṣitamaudgātraṃ karmā'jahrurāhṛtavantaḥ /	On this occasion of fighting, for each other s rise and fall, the Devas took away the Udgītha; the term ‘Udgītha’ indirectly indicates the functions of the Udgātṛ Priest;
tasyāpi kevalasyā'haraṇāsambhavājjotiṣṭomādyāhṛtavanta ityabhiprāyaḥ /	and there again, inasmuch as it cannot be possible to take away these functions of that one Priest alone, what is meant is that they took away all such acts sacrifices as the Jyotiṣṭoma and the like
tatkimarthamājahrurityucyate anena karmaṇainānasurānabhibhaviṣyāma ityevamabhiprāyāḥ santaḥ //	The next sentence explains for what purpose they took away the said functionsThey thought that with this,ie by means of this act of the Sacrifice we shall suppress these,Asuras
te ha nāsikyaṃ prāṇam udgītham upāsāṃ cakrire /	They meditated upon the Breath in the nose as Udgītha;
taṃ ha asurāḥ pāpmanā vividhuḥ /	the Asuras pierced it with evil;
tasmāt tenobhayaṃ jighrati surabhi ca durgandhi ca /	hence with it one smells both what is goodsmelling and what is foulsmelling;
pāpmanā hy eṣa viddhaḥ //	as it has been pierced with evil
yadā ca tadudgīthaṃ karmā'jihīrṣavastadāte ha devā nāsikyaṃ nāsikāyāṃ bhavaṃ cetanāvantaṃ ghrāṇaṃ prāṇamudgīthakartāramudgīthabhaktyopāsāṃcakrirejhrupāsanaṇṭakṛtavanta ityarthaḥ /	They, the Devas, meditated upon,performed meditation uponthe Breath in the nose,ie the sensory organ of olfaction,as Udgītha,ie the performer of the Sacrificial Act, Udgātṛ Priest, regarding him as the Udgītha itself
khalvetasyaivākṣarasyetyoṅkāramupāsāṃcakrira ityarthaḥ /	What this means is that they meditated upon the Udgīthaie the syllable ‘Om’as the Breath in the Olfactory Organ
evaṃ hi prakṛtārthaparityāgo 'prakṛtārthopādānaṃ ca na kṛtaṃ syāt /	It is only when the text is taken to mean this that the context becomes preserved and the introduction ol foreign matter becomes avoided
khalvetasyaivākṣarasyetyoṅkāro hyāpāsyatayā prakṛtaḥ / nanūdgīthopalakṣitaṃ karmā'hṛtavanta ityavoca idānīmeva;	As a matter of fact, the context relates to this syllable ‘Om’ itself as the object of meditation ObjectionYou have declared the sense of the previous text to be that the Devas took away the Act Rite related to the Udgītha;
kathaṃ nāsikyaprāṇadṛṣṭyoṅkāramupāsāṃcakrira ityāttha /	how is it, then, that now you say that they meditated upon the syllable ‘Om’ in the form of the Breath in the Nose?
naiṣa doṣaḥ /	AnswerThere is no force in this objection;
udgīthakarmaṇyeva hi tatkartṛprāṇadevatādṛṣṭyodgīthabhaktyavayavaścoṅkāra upāsyatvena vivakṣito na svatantro 'tastādarthyena karmā'hṛtavanta iti yuktamevoktam /	what is meant is that the syllable ‘Om’, which is a part of the Udgītha, should be meditated upon as the Breath in the Nose, and not independently by itself; and such being the sense, it is only right to say that ‘they took away the Act Sacrifice’ for the purpose of the said meditation
