yaḥ soma sakhye tava raraṇat deva martyaḥ tam dakṣaḥ sacate kavi ḥ	O Soma, God, the mortal man who in thy friendship hath delight, Him doth the mighty Sage befriend.
uṣaḥ tam aśyām yaśasam su vīram dāsa pravargam rayim aśva budhyam su daṁsasā śravasā yā vi bhāsi vāja prasūtā su bhage br̥hantam	O thou who shinest forth in wondrous glory, urged onward by thy strength, auspicious Lady, Dawn, may I gain that wealth, renowned and ample, in brave sons, troops of slaves, far-famed for horses.
viśvāni devī bhuvanā abhi cakṣya pratīcī cakṣuḥ urviyā vi bhāti viśvam jīvam carase bodhayantī viśvasya vācam avidat manāyoḥ	Bending her looks on all the world, the Goddess shines, widely spreading with her bright eye westward. Waking to motion every living creature, she understands the voice of each adorer.
punaḥ punaḥ jāyamānā purāṇī samānam varṇam abhi śumbhamānā śvaghnī iva kr̥tnuḥ vijaḥ āminānā martasya devī jarayantī āyuḥ	Ancient of days, again again born newly, decking her beauty with the self-same raiment. The Goddess wastes away the life of mortals, like a skilled hunter cutting birds in pieces.
vi ūrṇvatī divaḥ antān abodhi apa svasāram sanutaḥ yuyoti pra m inatī manuṣyā yugāni yoṣā jārasya cakṣasā vi bhāti	She hath appeared discovering heaven's borders: to the far distance she drives off her Sister. Diminishing the days of human creatures, the Lady shines with all her lover's splendour.
paśūn na citrā su bhagā prathānā sindhuḥ na kṣodaḥ urviyā vi aśvait aminatī daivyāni vratāni sūryasya ceti raśmi bhiḥ dr̥śānā	The bright, the blessed One shines forth extending her rays like kine, as a flood rolls his waters. Never transgressing the divine commandments, she is beheld visible with the sunbeams.
uṣaḥ tat citram ā bhara asmabhyam vājinī vati yena tokam ca tanayam ca dhāmahe	O Dawn enriched with ample wealth, bestow on us the wondrous gift Wherewith we may support children and children's sons.
uṣaḥ adya iha go mati aśva vati vibhāvari revat asme vi uccha sūnr̥tāvati	Thou radiant mover of sweet sounds, with wealth of horses and of kine Shine thou on us this day, O Dawn auspiciously.
yukṣva hi vājinī vati aśvān adya aruṇān uṣaḥ atha naḥ viśvā saubhagāni ā vaha	O Dawn enriched with holy rites, yoke to thy car thy purple steeds, And then bring thou unto us all felicities.
aśvinā vartiḥ asmat ā go mat dasrā hiraṇya vat arvāk ratham sa manasā ni yacchatam	O Aṣvins wonderful in act, do ye unanimous direct Your chariot to our home wealthy in kine and gold.
yau itthā ślokam ā divaḥ jyotiḥ janāya cakrathuh ā naḥ ūrjam vahatam aśvinā yuvam	Ye who brought down the hymn from heaven, a light that giveth light to man, Do ye, O Aṣvius, bring strength bither unto us.
ā iha devā mayaḥ bhuvā dasrā hiraṇyavartanī itihiraṇya vartanī uṣaḥ budhaḥ vahantu soma pītaye	Hither may they who wake at dawn bring, to drink Soma both the Gods Health-givers Wonder-Workers, borne on paths of gold.
agnīṣomau imam su me śr̥ṇutam vr̥ṣaṇā havam prati su uktāni haryatam bhavatam dāśuṣe mayaḥ	AGNI and Soma, mighty Pair, graciously hearken to my call, Accept in friendly wise my hymn, and prosper him who offers gifts.
agnīṣomā yaḥ adya vām idam vacaḥ saparyati tasmai dhattam su vīryam gavām poṣam su aśvyam	The man who honours you to-day, Agni and Soma, with this hymn, Bestow on him heroic strength, increase of kine, and noble steeds.
agnīṣomā yaḥ āhutim yaḥ vām dāsāt haviḥ kr̥tim saḥ pra jayā su vīryam viśvam āyuḥ vi aśnavat	The man who offers holy oil and burnt oblations unto you, Agni and Soma, shall enjoy great strength, with offspring, all his life.
agnīṣomā ceti tat vīryam vām yat amuṣṇītam avasam paṇim gāḥ ava atiratam br̥sayasya śeṣaḥ avindatam jyotiḥ ekam bahu bhyaḥ	Agni and Soma, famed is that your prowess wherewith ye stole the kine, his food, from Paṇi. Ye caused the brood of Br̥isaya to perish; ye found the light, the single light for many.
yuvam etāni divi rocanāni agniḥ ca soma sakratūitisa kratū adhattam yuvam sindhūn abhi śasteḥ avadyāt agnīṣomau amuñcatam gr̥bhītān	Agni and Soma, joined in operation ye have set up the shining lights in heaven. From curse and from reproach, Agni and Soma, ye freed the rivers that were bound in fetters.
ā anyam divaḥ mātariśvā jabhāra amathnāat anyam pari śyenaḥ adreḥ agnīṣomā brahmaṇā vavr̥dhānā urum yajñāya cakrathuḥ oṁ iti lokam	One of you Mitarisvan brought from heaven, the Falcon rent the other from the mountain. Strengthened by holy prayer Agni and Soma have made us ample room for sacrificing.
agnīṣomā haviṣaḥ pra sthitasya vītam haryatam vr̥ṣaṇā juṣethām su śarmāṇā su avasā hi bhūtam atha dhattam yajamānāya śam yoḥ	Taste, Agni, Soma, this prepared oblation; accept it, Mighty Ones, and let it please you. Vouchsafe us good protection and kind favour: grant to the sacrificer health and riches.
yaḥ agnīṣomā haviṣā saparyāt devadrīcā manasā yaḥ ghr̥tena tasya vratam rakṣatam pātam aṁhasaḥ viśe janāya mahi śarma yacchatam	Whoso with oil and poured oblation honours, with God-devoted heart, Agni and Soma,– Protect his sacrifice, preserve him from distress, grant to the sacrificer great felicity.
agnīṣomā sa vedasā sahūtī itisa hūtī vanatam giraḥ sam deva trā babhūvathuḥ	Invoked together, mates in wealth, AgniSoma, accept our hymns: Together be among the Gods.
agnīṣomau anena vām yaḥ vām ghr̥tena dāśati tasmai dīdayatam br̥hat	Agni and Soma, unto him who worships you with holy oil Shine forth an ample recompense.
agnīṣomau imāni naḥ yuvam havyā jujoṣatam ā yātam upa naḥ sacā	Agni and Sonia, be ye pleased with these oblations brought to you, And come, together, nigh to us.
agnīṣomā pipr̥tam arvataḥ naḥ ā pyāyantām usriyāḥ havya sūdaḥ asme iti balāni maghavat su dhattam kr̥ṇutam naḥ adhvaram śruṣṭi mantam	Agni and Soma, cherish well our horses, and let our cows be fat who yield oblations. Grant power to us and to our wealthy patrons, and cause our holy rites to be successful.
imam stomam arhate jāta vedase ratham iva sam mahema manīṣayā bhadrā hi naḥ pra matiḥ asya sam sadi agne sakhye mā riṣāma vayam tava	FOR Jâtavedas worthy of our praise will we frame with our mind this eulogy as 'twere a car. For good, in his assembly, is this care of ours. Let us not, in thy friendship, Agni, suffer harm.
yasmai tvam āyajase saḥ sādhati anarvā kṣeti dadhate su vīryam saḥ tūtāva na enam aśnoti aṁhatiḥ agne sakhye mā riṣāma vayam tava	The man for whom thou sacrificest prospereth, dwelleth without a foe, gaineth heroic might. He waxeth strong, distress never approacheth him. Let us riot, in thy friendship, Agni, suffer harm.
śakema tvā sam idham sādhaya dhiyaḥ tve devāḥ haviḥ adanti āhutam tvam ādityān ā vaha tān hi uśmasi agne sakhye mā riṣāma vayam tava	May we have power to kindle thee. Fulfil our thoughts. In thee the Gods eat the presented offering, Bring hither the Âdityas, for we long for them. Let us not in thy friendship, Agni, suffer harm.
bharāma idhmam kr̥ṇavāma havīṁṣi te citayantaḥ parvaṇāparvaṇā vayam jīvātave pra taram sādhaya dhiyaḥ agne sakhye mā riṣāma vayam tava	We will bring fuel and prepare burnt offerings, reminding thee at each successive festival. Fulfil our thought that so we may prolong our lives. Let us not in thy friendship, Agni, suffer harm.
viśām gopāḥ asya caranti jantavaḥ dvi pat ca yat uta catuḥ pat aktu bhiḥ citraḥ pra ketaḥ uṣasaḥ mahān asi agne sakhye mā riṣāma vayam tava	His ministers move forth, the guardians of the folk, protecting quadruped and biped with their rays. Mighty art thou, the wondrous herald of the Dawn. Let us not in thy friend. ship, Agni, suffer harm.
tvam adhvaryuḥ uta hotā asi pūrvyaḥ pra śāstā potā januṣā puraḥ hitaḥ viśvā vidvān ārtvijyā dhīra puṣyasi agne sakhye mā riṣāma vayam tava	Thou art Presenter and the chief Invoker, thou Director, Purifier, great High Priest by birth. Knowing all priestly work thou perfectest it, Sage. Let us not in thy friendship, Agni, suffer harm.
yaḥ viśvataḥ su pratīkaḥ sa dr̥ṅ asi dūre cit san tal̥it iva ati rocase rātryāḥ cit andhaḥ ati deva paśyasi agne sakhye mā riṣāma vayam tava	Lovely of form art thou, alike on every side; though far, thou shinest brightly as if close at hand. O God, thou seest through even the dark of night. Let us not in thy friendship, Agni, suffer harm.
pūrvaḥ devāḥ bhavatu sunvataḥ rathaḥ asmākam śaṁsaḥ abhi astu duḥ dhyaḥ tat ā jānīta uta puṣyata vacaḥ agne sakhye mā riṣāma vayam tava	Gods, foremost he his car who pours libations out, and let our hymn prevail o'er evil-hearted men. Attend to this our speech and make it prosper well. Let us not in thy friendship, Agni, suffer harm.
vadhaiḥ duḥ śaṁsān apa duḥ dhyaḥ jahi dūre vā ye anti vā ke cit atri ṇaḥ atha yajñāya gr̥ṇate su gam kr̥dhi agne sakhye mā riṣāma vayam tava	Smite with thy weapons those of evil speech and thought, devouring demons, whether near or tar away. Then to the singer give free way for sacrifice. Let us not in thy friendship, Agni, suffer harm.
yat ayukthāḥ aruṣā rohitā rathe vāta jūtā vr̥ṣabhasya iva te āt invasi vaninaḥ dhūma ketunā agne sakhye mā riṣāma vayam tava	When to thy chariot thou hadst yoked two red steeds and two ruddy steeds, wind-sped, thy roar was like a bull's. Thou with smoke-bannered flame attackest forest trees. Let us not in thy friendship, Agni, suffer harm.
adha svanāt uta bibhyuḥ patatriṇaḥ drapsā yat te yavasa adaḥ vi asthiran su gam tat te tāvakebhyaḥ rathebhyaḥ agne sakhye mā riṣāma vayam tava	Then at thy roar the very birds are terrified, when, eating-up the grass, thy sparks fly forth abroad. Then is it easy for thee and thy car to pass. Let us not in thy friendship, Agni, suffer harm.
ayam mitrasya varuṇasya dhāyase ava yātām marutām hel̥aḥ adbhutaḥ mr̥l̥a su naḥ bhūtu eṣām manaḥ punaḥ agne sakhye mā riṣāma vayam tava	He hath the Power to soothe Mitra and Varuṇa: wonderful is the Maruts' wrath when they descend. Be gracious; let their hearts he turned to us again. Let us not in thy friendship, Agni, suffer harm.
devaḥ devānām asi mitraḥ adbhutaḥ vasuḥ vasūnām asi cāruḥ adhvare śarman syāma tava saprathaḥ tame agne sakhye mā riṣāma vayam tava	Thou art a God, thou art the wondrous Friend of Gods, the Vasu of the Vasus, fair in sacrifice. Under, thine own most wide protection may we dwell. Let us not in thy friendship, Agni, suffer harm.
tat te bhadram yat sam iddhaḥ sve dame soma āhutaḥ jarase mr̥l̥ayat tamaḥ dadhāsi ratnam draviṇam ca dāśuṣe agne sakhye mā riṣāma vayam tava	This is thy grace that, kindled in thine own abode, invoked with Soma thou soundest forth most benign, Thou givest wealth and treasure to the worshipper. Let us not in thy friendship, Agni, suffer harm.
yasmai tvam su draviṇaḥ dadāśaḥ anāgāḥ tvam adite sarva tātā yam bhadreṇa śavasā codayāsi prajāvatā rādhasā te syāma	To whom thou, Lord of goodly riches, grantest freedom from every sin with perfect wholeness, Whom with good strength thou quikenest, with children and wealth-may we be they, Eternal Being.
saḥ tvam agne saubhaga tvasya vidvān asmākam āyuḥ pra tira iha deva tat naḥ mitraḥ varuṇaḥ mamahantām aditiḥ sindhuḥ pr̥thivī uta dyauḥ	Such, Agni, thou who knowest all good fortune, God, lengthen here the days of our existence. This prayer of ours may Varuṇa grant, and Mitra, and Aditi and Sindhu, Earth and Heaven.
dve virūpeitivi rūpe carataḥ svartheitisu arthe anyāanyā vatsam upa dhāpayeteiti hariḥ anyasyām bhavati svadhāvān śukraḥ anyasyām dadr̥śe su varcāḥ	To fair goals travel Two unlike in semblance: each in succession nourishes an infant. One bears a Godlike Babe of golden colour; bright and fair-shining, is he with the other.
daśa imam tvaṣṭuḥ janayanta garbham atandrāsaḥ yuvatayaḥ vi bhr̥tram tigma anīkam sva yaśasam janeṣu vi rocamānam pari sīm nayanti	Tvashṭar's ten daughters, vigilant and youthful, produced this Infant borne to sundry quarters. They bear around him whose long flames are pointed, fulgent among mankind with native splendour.
trīṇi jānā pari bhūṣanti asya samudre ekam divi ekam ap su pūrvām anu pra diśam pārthivānām r̥tūn pra śāsat vi dadhau anuṣṭhu	Three several places of his birth they honour, in mid-air, in the heaven, and in the waters. Governing in the cast of earthly regions, the seasons hath he stablished in their order.
kaḥ imam vaḥ niṇyam ā ciketa vatsaḥ mātr̥r̥ḥ janayata sva dhābhiḥ bahvīnām garbhaḥ apasām upa sthāt mahān kaviḥ niḥ carati svadhāvān	Who of you knows this secret One? The Infant by his own nature hath brought forth his Mothers. The germ of many, from the waters' bosom he goes forth, wise and great, of Godlike nature.
iti tvaṣṭuḥ bibhyatuḥ jāyamānāt pratīcī iti siṁham prati joṣayeteiti	Visible, fair, he grows in native brightness uplifted in the lap of waving waters. When he was born both Tvashṭar's worlds were frightened: they turn to him and reverence the Lion.
ubhe iti bhadre iti joṣayeteiti na mene gāvaḥ na vāśrāḥ upa tasthuḥ evaiḥ saḥ dakṣāṇām dakṣa patiḥ babhūva añjanti yam dakṣiṇataḥ haviḥ bhiḥ	The Two auspicious Ones, like women, tend him: like lowing cows they seek him in their manner. He is the Lord of Might among the mighty; him, on the right, they balm with their oblations.
ut yaṁyamīti savitāiva bāhū iti ubhe iti sicau yatate bhīmaḥ r̥ñjan ut śukram atkam ajate simasmāt navā mātr̥ bhyaḥ vasanā jahāti	Like Savitar his arms with might he stretches; awful, he strives grasping the world's two borders. He forces out from all a brilliant vesture, yea, from his Mothers draws he forth new raiment.
tveṣam rūpam kr̥ṇute ut taram yat sam pr̥ñcānaḥ sadane go bhiḥ at bhiḥ kaviḥ budhnam pari marmr̥jyate dhīḥ sā devatātā sam itiḥ babhūva	He makes him a most noble form of splendour, decking him in his home with milk and waters. The Sage adorns the depths of air with wisdom . this is the meeting where the Gods are worshipped.
uru te jrayaḥ pari eti budhnam vi rocamānam mahiṣasya dhāma viśvebhiḥ agne svayaśaḥ bhiḥ iddhaḥ adabdhebhiḥ pāyu bhiḥ pāhi asmān	Wide through the firmament spreads forth triumphant the far-resplendent strength of' thee the Mighty. Kindled by us do thou preserve us, Agni, with all thy self-bright undiminished succours.
dhanvan srotaḥ kr̥ṇute gatum ūrmim śukraiḥ ūrmi bhiḥ abhi nakṣati kṣām viśvā sanāni jaṭhareṣu dhatte antaḥ navāsu carati pra sūṣu	In dry spots he makes stream, and course, and torrent, and inundates the earth with floods that glisten. All ancient things within his maw he gathers, and moves among the new fresh-sprouting grasses.
eva naḥ agne sam idhā vr̥dhānaḥ revat pāvaka śravase vi bhāhi tat naḥ mi traḥ varuṇaḥ mamahantām aditiḥ sindhuḥ pr̥thivī uta dyauḥ	Fed with our fuel, purifying Agni, so blaze to us auspiciously for glory. This prayer of ours may Varuṇa grant, and Mitra, and Aditi and Sindhu, Earth and Heaven.
saḥ pratna thā sahasā jāyamānaḥ sadyaḥ kāvyāni baṭ adhatta viśvā āpaḥ ca mitram dhiṣaṇā ca sādhan devāḥ agnim dhārayan draviṇaḥ dām	HE in the ancient way by strength engendered, lo! straight hath taken to himself all wisdom. The waters and the bowl have made him friendly. The Gods possessed the wealth bestowing Agni.
saḥ pūrvayā ni vidā kavyatā āyoḥ imāḥ pra jāḥ ajanayat manūnām vivasvatā cakṣasā dyām apaḥ ca devāḥ agnim dhārayan draviṇaḥ dām	At Âyu's ancient call he by his wisdom gave all this progeny of men their being, And, by refulgent light, heaven and the waters. The Gods possessed the wealth. bestowing Agni.
tam il̥ata prathamam yajña sādham viśaḥ ārīḥ āhutam r̥ñjasānam ūrjaḥ putram bharatam sr̥pra dānum devāḥ agnim dhārayan draviṇaḥ dām	Praise him, ye Aryan folk, as chief performer of sacrifice adored and ever toiling, Well-tended, Son of Strength, the Constant Giver. The Gods possessed the wealth bestowing Agni.
saḥ mātariśvā puruvāra puṣṭiḥ vidat gātum tanayāya svaḥ vit viśām gopāḥ janitā rodasyoḥ devāḥ agnim dhārayan draviṇaḥ dām	That Mâtariṣvan rich in wealth and treasure, light-winner, finds a pathway for his offispring. Guard of our folk, Father of earth and heaven. The Gods possessed the wealth bestowing Agni.
naktoṣasā varṇam āmemyāneity āmemyāne dhāpayeteiti śiśum ekam samīcī itisam īcī dyāvākṣāmā rukmaḥ antaḥ vi bhāti devāḥ agnim dhārayan draviṇaḥ dām	Night and Dawn, changing each the other's colour, meeting together suckle one same Infant: Golden between the heaven and earth he shineth. The Gods possessed the wealth bestowing Agni.
rāyaḥ budhnaḥ sam gamanaḥ vasūnām yajñasya ketuḥ manma sādhanaḥ veḥ amr̥ta tvam rakṣamāṇāsaḥ enam devāḥ agnim dhārayan draviṇaḥ dām	Root of wealth, gathering-place of treasures, banner of sacrifice, who grants the suppliant's wishes: Preserving him as their own life immortal, the Gods possessed the wealth-bestowing Agni.
nu ca purā ca sadanam rayīṇām jātasya ca jāyamānasya ca kṣām sataḥ ca gopām bhavataḥ ca bhūreḥ devāḥ agnim dhārayan draviṇaḥ dām	Now and of old the home of wealth, the mansion of what is born and what was born aforetime, Guard of what is and what will be hereafter,– the Gods possessed the wealth bestowing Agni.
draviṇaḥ dāḥ draviṇasaḥ turasya draviṇaḥ dāḥ sanarasya pra yaṁsat draviṇaḥ dāḥ vīra vatīm iṣam naḥ draviṇaḥ dāḥ rāsate dīrgham āyuḥ	May the Wealth-Giver grant us conquering riches; may the Wealth-Giver grant us wealth with heroes. May the Wealth-Giver grant us food with offspring, and length of days may the Wealth-Giver send us.
eva naḥ agne sam idhā vr̥dhānaḥ revat pāvaka śravase vi bhāhi tat naḥ mi traḥ varuṇaḥ mamahantām aditiḥ sindhuḥ pr̥thivī uta dyauḥ	Fed with our fuel, purifying Agni, so blaze to us auspiciously for glory. This prayer of ours may Varuṇa grant, and Mitra, and Aditi and Sindhu, Earth and Heaven.
apa naḥ śośucat agham agne śuśugdhi ā rayim apa naḥ śośucat agham	CHASING with light our sin away, O Agni, shine thou wealth on us. May his light chase our sin away.
su kṣetriyā sugātu yā vasu yā ca yajāmahe apa naḥ śośucat agham	For goodly fields, for pleasant homes, for wealth we sacrifice to thee. May his light chase our sin away.
pra yat bhandiṣṭhaḥ eṣām pra asmākāsaḥ ca sūrayaḥ apa naḥ śośucat agham	Best praiser of all these be he; foremost, our chiefs who sacrifice. May his light chase our sin away.
pra yat te agne sūrayaḥ jāyemahi pra te vayam apa naḥ śośucat agham	So that thy worshippers and we, thine, Agni, in our sons may live. May his light chase our sin away.
pra yat agneḥ sahasvataḥ viśvataḥ yanti bhānavaḥ apa naḥ śośucat agham	As ever- conquering Agni's beams of splendour go to every side, May his light chase our sin away.
tvam hi viśvataḥ mukha viśvataḥ pari bhūḥ asi apa naḥ śośucat agham	To every side thy face is turned, thou art triumphant everywhere. May his light chase our sin away.
dviṣaḥ naḥ viśvataḥ mukha ati nāvāiva pāraya apa naḥ śośucat agham	O thou whose face looks every way, bear us past foes as in a ship. May his light chase our sin away.
saḥ naḥ sindhum iva nāvayā ati parṣa svastaye apa naḥ śośucat agham	As in a ship, convey thou us for our advantage o'er the flood. May his light chase our sin away.
vaiśvānarasya su matau syāma rājā hi kam bhuvanānām abhi śrīḥ itaḥ jātaḥ viśvam idam vi caṣṭe vaiśvānaraḥ yatate sūryeṇa	STILL in Vaiṣvânara's grace may we continue: yea, he is King supreme o'er all things living. Sprung hence to life upon this All he looketh. Vaiṣvânara hath rivalry with Sûrya.
pr̥ṣṭaḥ divi pr̥ṣṭaḥ agniḥ pr̥thivyām pr̥ṣṭaḥ viśvāḥ oṣadhīḥ ā viveśa vaiśvānaraḥ sahasā pr̥ṣṭaḥ agniḥ saḥ naḥ divā saḥ riṣaḥ pātu naktam	Present in heaven, in earth, all-present Agni,– all plants that grow on ground hath he pervaded. May Agni, may Vaiṣvânara with vigour, present, preserve us day and night from foemen.
vaiśvānara tava tat satyam astu asmān rāyaḥ maghavānaḥ sacantām tat naḥ mitraḥ varuṇaḥ mamahantām aditiḥ sindhuḥ pr̥thivī uta dyauḥ	Be this thy truth, Vaiṣvânara, to us-ward: let wealth in rich abundance gather round us. This prayer of ours may Varuṇa grant, and Mitra, and Aditi and Sindhu, Earth and Heaven.
jata vedase sunavāma somam arāti yataḥ ni dahāti vedaḥ saḥ naḥ parṣat ati duḥ gāni viśvā nāvāiva sindhum duḥ itā ati agniḥ	FOR Jâtavedas let us press the Soma: may he consume the wealth of the malignant. May Agni carry us through all our troubles, through grief as in a boat across the river.
saḥ yaḥ vr̥ṣā vr̥ṣṇyebhiḥ sam okāḥ mahaḥ divaḥ pr̥thivyāḥ ca sam rāṭ satīna satvā havyaḥ bhareṣu marutvān naḥ bhavatu indraḥ ūtī	MAY he who hath his home with strength, the Mighty, the King supreme of earth and spacious heaven, Lord of true power, to he invoked in battles,– may Indra, girt by Maruts, be our succour.
yasya anāptaḥ sūryasya iva yāmaḥ bhare bhare vr̥tra hā śuṣmaḥ asti vr̥ṣan tamaḥ sakhi bhiḥ svebhiḥ evaiḥ marutvān naḥ bhavatu indraḥ ūtī	Whose way is unattainable like Sûrya's: he in each fight is the strong Vr̥itra-slayer, Mightiest with his Friends in his own courses. May Indra, girt by Maruts, be our succour.
divaḥ na yasya retasaḥ dughānāḥ panthāsaḥ yanti śavasā apari itāḥ tarat dveṣāḥ sasahiḥ paiṁsyebhiḥ marutvān naḥ bhavatu indraḥ ūtī	Whose paths go forth in their great might resistless, forthmilking, as it were, heaven's genial moisture. With manly strength triumphant, foe-subduer,– may Indra, girt by Maruts, be our succour.
saḥ aṅgiraḥ bhiḥ aṅgiraḥ tamaḥ bhūt vr̥ṣā vr̥ṣa bhiḥ sakhi bhiḥ sakhā san r̥gmi bhiḥ r̥gmī gātu bhiḥ jyeṣṭhaḥ marutvān naḥ bhavatu indraḥ ūtī	Among Angirases he was the chiefest, a Friend with friends, mighty amid the mighty. Praiser mid praisers, honoured most of singers. May Indra, girt by Maruts, be our succour.
saḥ sūnu bhiḥ na rudrebhiḥ r̥bhvā nr̥ sahye sasahvān amitrān sa nīl̥ebhiḥ śravasyāni tūrvan marutvān naḥ bhavatu indraḥ ūtī	Strong with the Rudras as with his own children, in manly battle conquering his foemen ' With his close comrades doing deeds of glory,– may Indra, girt by Maruts, be our succour.
saḥ manyu mīḥ sa madanasya kartā asmākebhiḥ nr̥ bhiḥ sūryam sanat asmi n ahan sat patiḥ puru hūtaḥ marutvān naḥ bhavatu indraḥ ūtī	Humbler of pride, exciter of the conflict, the Lord of heroes, God invoked of many, May he this day gain with our men the sunlight. May Indra, girt by Maruts, be oursuccour.
tam ūtayaḥ raṇayat śūra sātau tam kṣemasya kṣitayaḥ kr̥ṇvata trām saḥ viśvasya karuṇasy a īśe ekaḥ marutvān naḥ bhavatu indraḥ ūtī	His help hath made him cheerer in the battle, the folk have made him guardian of their comfort. Sole Lord is he of every holy service. May Indra, girt by Maruts, be our succour.
tam apsanta śavasaḥ ut saveṣu naraḥ naram avase tam dhanāya saḥ andhe cit tamasi jyotiḥ vidat marutvān naḥ bhavatu indraḥ ūtī	To him the Hero, on high days of prowess, heroes for help and booty shall betake them. He hath found light even in the blinding darkness. May Indra, girt by Maruts, be our succour.
