.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
sa brahmavadbrahmavidāṃ babhūva rājeva rājñāṃ bahumānapātram / sākṣātsahasrākṣa iva prajānāṃ	To the Brāhmans he was (an authority) like the Holy Writ; to the Kṣatriyas as venerable as a king; to the masses he appeared.
tasya bhāgyaguṇātiśayasamāvarjito mahāṃllābhasatkārayaśoviśeṣaḥ prādurabhūt /	In consequence of his prosperous destiny (the result of merits formerly earned), a large store of wealth, distinction, and fame fell to his share.
dharmābhyāsabhāvitamatiḥ kṛtapravrajyāparicayastu bodhisattvo na tenābhireme /	But the Bodhisattva took no delight in such things. His thoughts had been purified by his constant study of the Law, and he had become familiar with world-renunciation.
sa pūrvacaryāpariśuddhabuddhiḥ kāmeṣu dṛṣṭvā bahudoṣajātam /	His former behaviour had wholly cleared his mind, he saw the many kinds of sin which beset (worldly) pleasures.
gārhasthyamasvāsthyamivāvadhūya kaṃcidvanaprasthamalaṃcakāra //	So he shook off the householder's state, as if it were an illness, and retired to some plateau, which he adorned by his presence.
sa tatra niḥsaṅgatayā tayā(ca) prajñāvadātena śamena caiva / pratyādideśeva kukāryasaṅgādviśliṣṭaśiṣṭopaśamaṃ nṛlokam //	There, both by his detachment from the world and by his wisdom-brightened tranquillity, he confounded, as it were, the people in the world, who by attachment to bad occupations are disinclined for the calmness of the wise.
maitrīmayeṇa praśamena tasya visyandinevānuparītacittāḥ / parasparadrohanivṛttabhavāstapasvivadvyālamṛgā viceruḥ //	His calmness full of friendliness spread about, it seems, and penetrated into the hearts of the ferocious animals so as to make them cease injuring one another and live like ascetics.
ācāraśuddhyā nibhṛtendriyatvāt saṃtoṣayogātkaruṇāguṇācca / asaṃstutasyāpi janasya loke so 'bhūtpriyastasya yathaiva lokaḥ //	By dint of the pureness of his conduct, his self-control, his contentment, and his compassion, he was no less a friend even to the people in the world, who were unknown to him, than all creatures were friends to him.
alpecchabhāvātkuhanānabhijñastyaktaspṛho lābhayaśaḥ sukheṣu /	As he wanted little, he did not know the art of hypocrisy, and he had abandoned the desire for gain, glory, and pleasures.
sa devatānāmapi mānasāni prasādabhaktipravaṇāni cakre //	So he caused even the deities to be propitious and worshipful towards him.
śrutvātha taṃ pravrajitaṃ manuṣyā guṇaistadīyairavabaddhacittāḥ\ vihāya bandhūṃśca parigrahāṃśca tacchiṣyatāṃ siddhimivopajagmuḥ //	On the other hand, those whose affection he lead gained (in his former state) by his virtues, hearing of his ascetic life, left their families and their relations and went up to him as to the embodied Salvation, in order to become his disciples.
śīle śucāvindriyabhāvanāyāṃ smṛtyapramoṣe praviviktatāyām / maitryādike caiva manaḥsamādhau yathābalaṃ so 'nuśaśāsa śiṣyān // atha kadācitsa mahātmā pariniṣpannabhūyiṣṭhe pṛthubhūte śiṣyagaṇe pratiṣṭhāpite 'smin kalyāṇe vartmanyavatārite naiṣkramyasatpathaṃ loke saṃvṛteṣvivāpāyadvāreṣu rājamārgīkṛteṣviva sugatimārgeṣu dṛṣṭadharmasukhavihārārthaṃ tatkālaśiṣyeṇājitenānugamyamāno yogānukūlān parvatadarīnikuñjānanuvicacāra /	He taught his disciples as best he could, good conduct (śīla), chastity, purification of the organs of sense, constant attentiveness, detachment from the world, and the concentration of the mind to the meditation on friendliness (maitrī) and the rest. Most of his numerous disciples attained perfection in consequence of his teaching, by which this holy road (to salvation) was established and people were put on the excellent path of world-renunciation. Now, the doors of evils being shut, as it were, but the ways of happiness widely opened like high roads, it once happened that the Great-minded One (mahātman) was rambling along the shrubby caverns of the mountain well adapted to the practices of meditation (yoga), in order to enjoy at his ease this existing order of things. Ajita, his disciple at that time, accompanied him.
athātra vyāghravanitāṃ dadarśa girigahvare / prasūtikleśadoṣeṇa gatāṃ nispandamandatām //	Now, below in a cavern of the mountain, he beheld a young tigress that could scarcely move from the place, her strength being exhausted by the labour of whelping.
parikṣāmekṣaṇayugāṃ kṣudhā chātatarodarīm / āhāramiva paśyantīṃ bālān svatanayānapi // stanyatarṣādupasṛtān mātṛvisrambhanirvyathān / rorūyitaravaiḥ krūrairbhartsayantīṃ parāniva //	Her sunken eyes and her emaciated belly betokened her hunger, and she was regarding her own offspring as food, who thirsting for the milk of her udders, had come near her, trusting their mother and fearless; but she brawled at them, as if they were strange to her, with prolonged harsh roarings.
bodhisattvastu tāṃ dṛṣṭvā dhīro 'pi karuṇāvaśāt / cakampe paraduḥkhena mahīkampādivādrirāṭ //	On seeing her, the Bodhisattva, though composed in mind, was shaken with compassion by the suffering of his fellow creature, as the lord of the mountains (Meru) is by an earthquake.
mahatsvapi svaduḥkheṣu vyaktadhairyāḥ kṛpātmakāḥ / mṛdunāpyanyaduḥkhena kampante yattadadbhutam // atha sa bodhisattvaḥ sasaṃbhramāmreḍitapadaṃ svabhavātiśayavyañjakaṃ karuṇābalasamāhitākṣaraṃ śiṣyamuvāca-vatsa vatsa /	It is a wonder, how the compassionate, be their constancy ever so evident in the greatest sufferings of their own, are touched by the grief, however small, of another! And his powerful pity made him utter, agitation made him repeat to his pupil, the following words manifesting his excellent nature: My dear, my dear, he exclaimed,.
paśya saṃsāranairguṇyaṃ mṛgyeṣā svasutānapi /	Behold the worthlessness of Samsāra! This animal seeks to feed on her very own young ones.
laṅghitasnehamaryādā bhoktumanvicchati kṣudhā //	Hunger causes her to transgress love's law.
aho batātikaṣṭeyamātmasnehasya raudratā / yena mātāpi tanayānāhārayitumicchati //	Alas! Fie upon the ferocity of self-love, that makes a mother wish to make her meal with the bodies of her own offspring!.
ātmasnehamayaṃ śatruṃ ko vardhayitumarhati / yena kuryātpadanyāsamīdṛśeṣvapi karmasu //	Who ought to foster the foe, whose name is self-love, by whom one may be compelled to actions like this?.
ahamapi caināṃ prayatiṣye sāhasādasmānnivārayitum / sa tathetyasmai pratiśrutya prakrāntastadāhārānveṣaṇaparo babhūva /	too shall endeavour to avert her from that rash act. The disciple promised to do so, and went off in search of food.
atha bodhisattvastaṃ śiṣyaṃ savyapadeśamativāhya cintāmāpede-saṃvidyamāne sakale śarīre kasmatparasmānmṛgayāmi māṃsam / yādṛcchikī tasya hi lābhasaṃpatkārtyātyayaḥ syācca tathā mamāyam //	Yet the Bodhisattva had but used a pretext to turn him off. He considered thus:. Why should search after meat from the body of another, whilst the whole of my own body is available? Not only is the getting of the meat in itself a matter of chance, but should also lose the opportunity of doing my duty.
api ca /	Further, -.
nirātmake bhedini sārahīne duḥkhe kṛtaghne satatāśucau ca / dehe parasmāyupayujyamāne na prītimān yo na vicakṣaṇaḥ saḥ //	This body being brute, frail, pithless, ungrateful, always impure, and a source of suffering, he is not wise who should not rejoice at its being spent for the benefit of another.
svasaukhyasaṅgena parasya duḥkhamupekṣyate śaktiparikṣayādvā /	There are but two things that make one disregard the grief of another: attachment to one's own pleasure and the absence of the power of helping.
na cānyaduḥkhe sati me 'sti saukhyaṃ satyāṃ ca śaktau kimupekṣakaḥ syām // satyāṃ ca śaktau mama yadyupekṣā syādātatāyinyapi duḥkhamagne / kṛtveva pāpaṃ mama tena cittaṃ dahyeta kakṣaṃ mahatāgnineva //	But cannot have pleasure, whilst another grieves, and have the power to help; why should be indifferent? And if, while being able to succour, were to show indifference even to an evildoer immersed in grief, my mind, suppose, would feel the remorse for an evil deed, burning like shrubs caught by a great fire.
tasmātkariṣyāmi śarīrakeṇa taṭaprapātodgatajīvitena / saṃrakṣaṇaṃ putravadhācca mṛgyā mṛgyāḥ sakāśācca tadātmajānām //	Therefore, will kill my miserable body by casting it down into the precipice, and with my corpse shall preserve the tigress.
kiṃ ca bhūyaḥ-	Even more, by so doing -.
manorathastatsaphalīkriyāṃ ca saṃbodhimagryāmapi cāvidūre // api ca / na spardhayā naiva yaśobhilāṣānna svargalābhānna ca rājyahetoḥ / nātyantike 'pyātmasukhe yathāyaṃ mamādaro 'nyatra parārthasiddheḥ // tathā mamānena samānakālaṃ lokasya duḥkhaṃ ca sukhodayaṃ ca /	Verily, as surely as this determination does not proceed from ambition, nor from thirst of glory, nor is a means of gaining Heaven or royal dignity, as surely as do not care even for supreme and everlasting bliss for myself, but for securing the This best of vehicles (yānavara) is the Buddhayāna, the vehicle by which Buddhahood may be reached, or mahāyāna, for both appelations cover nearly the same ground.
hartuṃ ca kartuṃ ca sadāstu śaktistamaḥ prakāśaṃ ca yathaiva bhānoḥ //	See Dharmasaṁgraha, with the annotation of Kenjiu Kasawara..
dṛṣṭe guṇe 'nusmṛtibhāgato vā spaṣṭaḥ kathāyogamupāgato vā / sarvaprakāraṃ jagato hitāni kuryāmajasraṃ sukhasaṃhitāni //	Whether shall be remembered, when virtue is seen to be practised, or made conspicuous, when the tale of my exploit is told; in every way may constantly benefit the world and promote its happiness!.
evaṃ sa niścitya parārthasiddhyai prāṇātyaye 'pyāpatitapramodaḥ / manāṃsi dhīrāṇyapi devatānāṃ vismāpayan svāṃ tanumutsasarja //	After so making up his mind, delighted at the thought that he was to destroy even his life for securing the benefit of others, to the amazement even of the calm minds of the deities he gave up his body.
atha sā vyāghrī tena bodhisattvasya śarīranipātaśabdena samutthāpitakautūhalāmarṣāviramya svatanayavaiśasodyamāttato nayane vicikṣepa /	The sound of the Bodhisattva's body falling down stirred the curiosity and the anger of the tigress. She desisted from her disposition of making a slaughter of her whelps, and cast her eyes all around.
dṛṣṭvaiva ca bodhisattvaśarīramudgataprāṇaṃ sahasābhisṛtya bhakṣayitumupacakrame /	As soon as she perceived the lifeless body of the Bodhisattva, she rushed hastily upon it and commenced to devour it.
atha sa tasya śiṣyo māṃsamanāsādyaiva pratinivṛttaḥ kutropādhyāya iti vilokayaṃstadbodhisattvaśarīramudgataprāṇaṃ tayā vyāghrayuvatyā bhakṣyamāṇaṃ dadarśa / sa tatkarmātiśayavismayātprativyūḍhaśokaduḥkhāvegastadguṇāśrayabahumānamivodgirannidamātmagataṃ bruvāṇaḥ śobheta-	But his disciple, coming back without meat, as he had got none, not seeing his teacher, looked about for him. Then he beheld that young tigress feeding on the lifeless body of the Bodhisattva. And the admiration of the extraordinary greatness of his performance driving back his emotions of sorrow and pain, he Parārthasiddhi here and in st.
aho parākrāntamapetasādhvasaṃ guṇāśrayaṃ prema paraṃ pradarśitam /	is a rather ambiguous term, as it may also convey this meaning: ‘the attainment of the highest object. Apparently this ambiguity is intentional.
sarvathā namo 'stvasmai mahābhāgāya sarvabhūtaśaraṇyāyātivipulakāruṇyāyāprameyasattvāya bhūtārthabodhisattvāya mahāsattvāyeti / atha sa tamarthaṃ sabrahmacāribhyo nivedayāmāsa /	In every way, veneration be to that illustrious Great Being (Mahāsattva), of exuberant compassion, of boundless goodness, the refuge of all creatures, yea, that Bodhisattva for the sake of the creatures. And he told the matter over to his fellow-disciples.
tatkarmavismitamukhairatha tasya śiṣyairgandharvayakṣabhujagaistridaśādhipaiśca / mālyāmbarābharaṇacandanacūrṇavarṣaiśchannā tadasthivasudhā vasudhā babhūva //	Then his disciples and also the Gandharvas, the Yakṣas, the snakes, and the chiefs of the Devas, expressing by their countenance their admiration for his deed, covered the ground that held the treasure of his bones, with a profusion of wreaths, clothes, jewel ornaments, and sandal powder.
tadevaṃ sarvasattveṣvakāraṇaparamavatsalasvabhāvaḥ sarvabhūtātmabhūtaḥ pūrvajanmasvapi sa bhagavāniti buddhe bhagavati paraḥ prasādaḥ kāryaḥ /	So, then, even in former births the Lord showed His innate, disinterested, and immense love towards all creatures, and identified Himself with all creatures. For this reason we ought to have the utmost faith in Buddha, the Lord.
jātaprasādaiśca buddhe bhagavati parā prītirutpadayitavyā / evamāyatanagato naḥ prasāda ityevamapyunneyam /	[And also this is to be propounded: And having obtained this faith in Buddha the Lord, we ought to strive for feeling the highest gladness; in this manner our faith will have its sanctuary.
tathā satkṛtya dharmaḥ śrotavyaḥ /	Likewise we must listen with attention to the preaching of the Law, since it has been brought to us by means of hundreds of difficult hardships.
evaṃ duṣkaraśatasamudānītatvātkaruṇāvarṇe 'pi vācyam- evaṃ svabhāvātiśayasya niṣpādikā parānugrahapravṛttihetuḥ karuṇeti //	„ And in sermons on the subject of compassion, thus is to be said: in this manner compassion, moving us to act for the benefit of others, is productive of an exceedingly excellent nature.] Duşkaraśatasamudānītatvāt, cp.
2 śibijātakam /	Divyāvadāna, ed.
duṣkaraśatasamudānīto 'yamasmadarthaṃ tena bhagavatā saddharma iti satkṛtya śrotavyaḥ /	For it is by means of hundreds of difficult hardships that the Lord obtained this excellent Law for our sake.
tadyathānuśrūyate-	This is shown by the following.
bodhisattvabhūtaḥ kilāyaṃ bhagavānaparimitakālābhyāsātsātmībhūtopacitapuṇyakarmā kadācicchibīnāṃ rājā babhūva /	In the time, when this our Lord was still a Bodhisattva, in consequence of his possessing a store of meritorious actions collected by a practice from time immemorial, he once was a king of the Sibis.
sa bālyātprabhṛtyeva vṛddhopāsanaratirvinayānurakto 'nuraktaprakṛtiḥ prakṛtimedhāvitvādanekavidyādhigamavipulataramatirutsāhamantraprabhāvaśaktidaivasaṃpannaḥ svā iva prajāḥ prajāḥ pālayati sma /	By his deference to the elders whom he was wont to honour from his very childhood, and by his attachment to a modest behaviour, he gained the affection of his subjects; owing to his natural quickness of intellect, he enlarged his mind by learning many sciences; he was distinguished by energy, discretion, majesty and power, and favoured by fortune. He ruled his subjects as if they were his own children.
tasmiṃstrivargānuguṇā guṇaughāḥ saṃharṣayogādiva saṃniviṣṭāḥ / samastarūpā vibabhurna cāsu virodhasaṃkṣobhavipannaśobhāḥ //	The different sets of virtues, that accompany each member of the triad (of dharma, artha, and kāma) all together gladly took their residence, it seems, with him; and yet they did not lose any of their splendour in spite of the disturbance which might occur from their contrasts.
viḍambanevāvinayoddhatānāṃ durmedhasāmāpadivātikaṣṭā / alpātmanāṃ yā madireva lakṣmīrbabhūva sā tatra yathārthanāmā //	And felicity, that is like a mockery to those who have attained a high rank by wrong means, like a grievous calamity to the fool, like an intoxicating liquor to the feeble-minded to him it was, as is indicated by its name, real happiness..
udārabhāvātkaruṇāguṇācca vttādhipatyācca sa rājavaryaḥ / remer 'thināmīpsitasiddhiharṣādakliṣṭaśobhāni mukhāni paśyan //	Noble-hearted, full of compassion, and wealthy, this best of kings rejoiced at seeing the faces of the mendicants beaming with satisfaction and joy at the attainment of the wished-for objects.
atha sa rājā dānapriyatvātsamantato nagarasya sarvopakaraṇadhanadhānyasamṛddhā dānaśālāḥ karayitvā svamāhātmyānurūpaṃ yathābhiprāyasaṃpāditaṃ sopacāraṃ manoharamanatikrāntakālasubhagaṃ dānavarṣaṃ kṛtayugamegha iva vavarṣa /	Now this king, in accordance with his propensity for charity, had caused alms-halls, provided with every kind of utensils, goods, and grains, to be constructed in all parts of the town. In this way he poured out the rain of his gifts, not unlike a cloud of the Kṛta Yuga. And he distributed them in such a manner, as well became the loftiness of his mind, supplying the wants of each according to his desire, with lovely deference and kind speed, whereby he enhanced the benefit of his gifts.
annamannārthibhyaḥ pānaṃ pānārthibhyaḥ śayanāsanavasanabhojanagandhamālyarajatasuvarṇādikaṃ tattadarthibhyaḥ /	He bestowed food and drink on those who were in need of food and drink; likewise he dispensed couches, seats, dwellings, meals, perfumes, wreaths, silver, gold, and so on, to those who wanted them.
atha tasya rājñaḥ pradānaudāryaśravaṇādvismitapramuditahṛdayā nānādigabhilakṣitadeśanivāsinaḥ puruṣāstaṃ deśamupajagmuḥ /	Then, the fame of the king's sublime munificence spreading abroad, people who lived in different regions and parts of the world went to that country, with surprise and joy in their hearts.
parītya kṛtsnaṃ manasā nṛloka manyeṣvalabdhapraṇayāvakāśāḥ / tamarthinaḥ prītamukhāḥ samīyurmahāhradaṃ vanyagajā yathaiva //	The mendicants, when letting the whole world of men pass before their mind's eye, did not find in others an opportunity of putting forth their requests; to him it was that they went up in crowds with glad faces just as wild elephants go up to a great lake.
atha sa rājā samantataḥ samāpatato lābhāśāpramuditamanasaḥ pathikajananepathyapracchāditaśobhasya vanīpakajanasya viproṣitasyeva suhṛjjanasya saṃdarśanātprītivijṛmbhitākṣaḥ / yācñāṃ priyākhyānamivābhyananda ddattvā ca tuṣṭyārthijanaṃ jigāya //	The king, on the other hand, when beholding them whose minds were rejoiced with the hope of gain flocking together from all directions, though the outward appearance of that mendicant people in travelling dress was anything but handsome, -. Nevertheless he received them, as if they were friends come back from abroad, his eyes wide-opened with joy; he listened to their requests, as if good news were reported to him, and after giving, his contentment surpassed that of the recipients.
dānodbhavaḥ kīrtimayaḥ sugandhastasyārthināṃ vāganilaprakīrṇaḥ / madaṃ jahārānyanarādhipānāṃ gandhadvipasyeva paradvipānām //	In a similar way, the scent of the juice that runs out of the temples of the scent-elephant in rut, being scattered by the wind causes the bees to neglect the like fluid of the other elephants.
atha kadācitsa rājā dānaśālāḥ samanuvicaraṃstṛptatvādarthijanasya praviralaṃ yācakajanasaṃpātamabhisamīkṣya dānadharmasyānutsasrpaṇānna tuṣṭimupajagāma /	One day the king, making the tour of his alms-hall noticed the very small number of supplicants staying there, in consequence of the wants of the mendicant people being supplied. When he considered this, he was uneasy, because his habit of almsgiving could not well proceed.
tarṣaṃ vininyer 'thijanastametya na tvarthinaḥ prāpya sa dānaśauṇḍaḥ /	The indigent, when coming to him, quenched their thirst (for the desired boons), not he his (thirst for giving), when meeting with them.
na hyasya dānavyavasāyamarthī yācñāpramāṇena śaśāka jetum //	His passion for charity was so great, that no requester by the extent of his request could outdo his determination of giving.
tasya buddhirabhavat- atisabhāgyāste satpuruṣaviśeṣā ye visrambhaniryantraṇapraṇayamarthibhiḥ khagātrāṇyapi yācyante / mama punaḥ pratyākhyānarūkṣākṣaravacanasaṃtarjita ivārthijano dhanamātrake 'pragalbhapraṇayaḥ saṃvṛtta iti /	Then this thought arose within him; Oh, very blessed are those most excellent among the pious, to whom the mendicants utter their desires with confidence and without restraint, so as to ask even their limbs! But to me, as if they were terrified by harsh words of refusal, they show only boldness in requesting my wealth. In the original this simile is expressed by the rhetorical figure, called śleșa..
atha kṣitīśasya tamatyudāraṃ gātreṣvapi sveṣu nivṛttasaṅgam / vijñāya dānāśrayiṇaṃ vitarkaṃ patipriyā strīva mahī cakampe //	Now Earth, becoming aware of that exceedingly lofty thought, how her lord holding on to charity, had stopped the very attachment to his own flesh, trembled as a wife would, who loves her husband.
ata śakro devendraḥ kṣititalacalanādākampite vividharatnaprabhodbhāsini sumerau parvatarāje kimidamiti samutpatitavitarkasya rājña imaṃ vitarkātiśayaṃ dharaṇītalacalananimittamavetya vismayāvarjitahṛdayaścintāmāpede-	The surface of the earth being shaken, Sumeru, the lord of mountains, radiant with the shine of its manifold gems, began to waver. Sakra, the Lord of the Devas (Devendra), inquiring into the cause of this wavering, understood that it was the sublime thought of that king which produced the shivering of Earth's surface; and as he was taken up with amazement, he entered into this reflection:.
atha tasya rājñaḥ parṣadi niṣaṇṇasyāmātyagaṇaparivṛtasya samucitāyāṃ kṛtāyāmarthijanasya kaḥ kimicchatītyāhvānāvaghoṣaṇāyāmudghāṭyamāneṣu kośādhyakṣādhisthiteṣu maṇikanakarajatadhananicayeṣu viśleṣyamāṇāsu puṭāsu vividhavasanaparipūrṇagarbhāsu samupāvartyamāneṣu vinītavividhavāhanaskandhapratiṣṭhitayugeṣu vicitreṣu yānaviśeṣeṣu pravṛttasaṃpāter 'thijane śakro devānāmindro vṛddhamandhaṃ brahmaṇarūpamabhinirmāya rājñaścakṣuḥpathe prādurabhavat /	How is this? Does this king bear his mind so high and feel so great a rejoicing at giving away in charity as to conceive the thought of girding his resolution to give with the strong determination of parting with his own limbs? Well, will try him. Now the king, surrounded by his officials, was sitting (on his throne, in his hall) in the midst of the assembly. The usual summons by proclamation had been given, inviting anybody who was in need of anything; stores of wealth, silver, gold, jewels, were being disclosed by the care of the treasurer; boxes filled to the top with various kinds of clothes, were being uncovered; various excellent carriages, the yokes of which enclosed the necks of different well-trained beasts of draught, were being made to advance; and the mendicants were crowding in.
atha tasya rājñaḥ kāruṇyamaitrīparibhāvitayā dhīraprasannasaumyayā pratyudgata iva pariṣvakta iva ca dṛṣṭyā kenārtha ityupanimantryamāṇaḥ kṣitipānucarairnṛpatisamīpamupetya jayāśīrvacanapuraḥsaraṃ rājānamityuvāca-	On him the king fixed his firm, placid, and mild looks expressive of compassion and friendliness, and he seemed with them to go to his. The royal attendants requested him to say what he was wanting, but he drew near the king, and after uttering his hail and blessing, addressed him with these words:.
dūrādapaśyan sthaviro 'bhyupetastvaccakṣuṣor 'thī kṣitipradhāna /	blind, old man have come hither from afar begging thy eye, highest of kings.
ekekṣaṇenāpi hi paṅkajākṣa gamyeta lokādhipa lokayātrā // atha sa bodhisattvaḥ samabhilaṣitamanorathaprasiddhyā paraṃ prītyutsavamanubhavan kiṃsvididaṃ satyamevoktaṃ brāhmaṇena syāduta vikalpābhyāsānmayaivamavadhāritamiti jātavimarśaścakṣuryācñāpriyavacanaśravaṇatṛṣitamatistaṃ cakṣuryācanakamuvāca-	For the purpose of ruling the world's regular course one eye may be sufficient, lotus-eyed monarch. Though the Bodhisattva experienced an extreme delight at his heart's desire being realised, a doubt arose within him as to whether the Brāhman had really said so or, this thought being always present to his mind himself had fancied so, and since he longed to hear the very sweet words of the eye being asked, he thus spoke to the eye-asker:.
kenānuśiṣṭastvamihābhyupeto māṃ yācituṃ brāhmaṇamukhya cakṣuḥ / sudustyajaṃ cakṣuriti pravādaḥ saṃbhāvanā kasya mayi vyatītā //	Who has instructed thee, illustrious Brāhman, to come here and to ask from me one eye? No one, it is said, will easily part with his eye.
atha sa brāhmaṇaveṣadhārī śakro devendrastasya rājña āśayaṃ viditvovāca-	Who is he that thinks the contrary of me? Śakra, the Lord of the Devas in the disguise of a Brahman, knowing the intention of the king, answered:.
śakrasya śakrapratimānuśiṣṭyā tvāṃ yācituṃ cakṣurihāgato 'smi /	It is Sakra. His statue, instructing me to ask thee for thy eye, has caused me to come here.
atha sa rājā śakrasaṃkīrtanānnūnamasya brāhmaṇasya bhavitrī devatānubhāvādanena vidhinā cakṣuḥsaṃpaditi matvā pramodaviśadākṣaramenamuvāca-	Now make real his opinion and my hope by giving me thy eye. Hearing the name of Śakra, the king thought: Surely, through divine power this Brāhman shall regain his eyesight in this way, and he spoke in a voice, the clear sound of which manifested his joy:.
yenābhyupeto 'si manorathena tameṣa te brāhmaṇa pūrayāmi /	Brāhman, will fulfil thy wish, which has prompted thee to come here.
ākāṅkṣamāṇāya madekamakṣi dadāmi cakṣurdvayamapyahaṃ te //	Thou desirest one eye from me, shall give thee both..
sa tvaṃ vibuddhanayanotpalaśobhitāsyaḥ saṃpaśyato vraja yathābhimataṃ janasya / syātkiṃ nu so 'yamuta neti vicāradolālolasya so 'yamiti cotthitavismayasya // atha tasya rājño 'mātyāścakṣuḥpradānāvasāyamavetya sasaṃbhramāvegaviṣādavyathitamanaso rājānamūcuḥ-	After have adorned thy face with a pair of bright lotus-like eyes, go thy way, putting the bystanders first into doubt's swing as to the identity, but soon amazing them by the certainty of it. The king's counsellors, understanding that he had decided to part with his eyes, were perplexed and agitated, and sadness afflicted their minds. They said to the king:,.
dānātiharṣādanayamasamīkṣyāhitodayam /	Majesty, Your too great fondness for charity makes you overlook that this is mismanagement leading to evil.
prasīda deva mā maivaṃ na cakṣurdātumarhasi // ekasyārthe dvijasyāsya mā naḥ sarvān parākṛthāḥ /	Be propitious, then, desist from your purpose; do not give up your eyesight! For the sake of one twice-born man you must not disregard all of us.
alaṃ śokāgninā dagdhuṃ sukhaṃ saṃvardhitāḥ prajāḥ //	Do not burn with the fire of sorrow your subjects, to whom you have hitherto ensured comfort and prosperity.
dhanāni lakṣmīpratibodhanāni śrīmanti ratnāni payasvinīrgāḥ / rathān vinītāṃśca yujaḥ prayaccha madorjitaśrīlalitān dvipān vā // samuccarannūpuranisvanāni śaratpayodābhyadhikadyutīni /	Money, the source of opulence; brilliant gems; milch cows; carriages and trained beasts of draught; vigorous elephants of graceful beauty; dwellings fit for all seasons, resounding with the noise of the anklets, and by their brightness surpassing the autumn-clouds: such are boons fit to be bestowed.
gṛhāṇi sarvartusukhāni dehi mā dāḥ svacakṣurjagadekacakṣuḥ //	Give those, and not your eyesight. you who are the only eye of the world.
