Vasubandhu: Triṃśikāvijñaptikārikā	Trimsikavijnapti of the Vasubandhu with Bhasya of the acarya Sthiramati
tasmād vinaiva bāhyenārthena vijñānaṃ sañcitākāram utpadyate / na ca paramāṇava eva saṃcitās tasyālambanaṃ paramāṇūnām atadākāratvāt /	For the atoms in the aggregation attain no increase in their being compared with those in the individual. That is why the atoms, despite their accumulation, can no more become an “object” than all of them individually.
na hy asañcitāvasthātaḥ sañcitāvasthāyāṃ paramāṇūnāṃ kaścid ātmātiśayaḥ /	Another says: “Every single atom without relation to others is supersensible, but numerous related ones are perceptible to the senses”.
tasmād asañcitavat sañcitā api paramāṇavo naivālambanam /	For for a consciousness in which a certain content appears, no object of any other form can serve;
anyas tu manyate /	otherwise everything would be possible.
ekaika paramāṇur anyanirapekṣyo 'tīndriyo bahavas tu parasparāpekṣā indriyagrāhyāḥ /	Incidentally, there are just as few atoms in the highest sense, because they have a front, middle and back part.
teṣām api sāpekṣanirapekṣāvasthayor ātmātiśayābhāvād ekāntenendriyagrāhyatvam atīndriyatvaṃ vā / yadi ca paramāṇava eva parasparāpekṣā vijñānasya viṣayībhavanti /	Or if one does not want to admit this, the distinction of East, South, West, North do not apply to an atom, from which it would follow that the atom, like consciousness, is without form and location.
evaṃ sati yo 'yaṃ ghaṭakuḍyādyākārabhedo vijñāne sa na syāt praramāṇūnām atadākāratvāt / na cānyanirbhāsasya vijñānasyānyākāro viṣayo yujyate 'tiprasaṅgāt /	Accordingly, since there is no external opposition I.e. one who will not admit that there is no difference between the atoms combined and the atoms taken separately. I.e. every atom would have to contain that which, as a whole, brings about the perception in the form of a pot;
na ca paramāṇavaḥ stambhādivat paramārthataḥ santy/	likewise with 'wall' etc.Ie.
tadanabhyupagame vā pūrvadakṣiṇāparottarādidigbhedo yaḥ sa paramāṇor na syāt /	only an object that has the same form as that nirbhāsa can serve. In which case they would not be atoms, ie infinitesimally small (in our sense: without extension).
evaṃ bāhyārthābhāvād vijñānam evārthākāram utpadyate svapnavijñānavad ity abhyupeyam /	So probably identical with consciousness. If there is something, it is consciousness itself, which appears in the form of the object, like dream consciousness.
vedanādayo 'pi nātītānāgatās tadākāravijñānajanakā niruddhājātatvāt /	As the first of the mental elements, vedanā is named sensation, cf. CC p. I.e. are no longer or not yet available.
na ca vartamānā vartamānajanakā utpadyamānāvasthāyām asattvāt /	Read: vartamā (nâkāravijnā)najanakā.
[Tvbh_46] utpannāvasthāyāṃ vijñānasyāpi tadākāreṇotpannatvān na kiñcit kartavyam astīti manovijñānam apy anālambanam evotpadyate /	The vartamānā vedanā here seems to be broken down into two moments, in the first it is utpadyamānā, ie it is coming but is not there yet, in the second it is utpannā, but the vijnana of the same kşaņa is then already vartamānākāra.
anyas tv āha /	above.
asaty ātmani mukhye dharmeṣu copacāro na yujyate /	As can be seen from the course of the discussion, the Yogācāra does not accept this distinction; for him, even the primary is in principle secondary.
upacāro hi triṣu satsu bhavati nānyatamābhāve mukhyapadārthe tatsadṛśe 'nyasmin viṣaye tayoś ca sādṛśye /	One of the three: namely the primary object, another object similar to that, and the similarity of these two.
tad yathā mukhye 'gnau tatsadṛśe ca māṇavake tayoś ca sādhāraṇe dharme kapilatve tīkṣṇatve vā saty agnir māṇavaka ity upacāraḥ kriyate / atra hy agnir māṇavaka iti jātir dravyaṃ vopacaryate /	So e.g. B. the transference 'the fellow is fire' takes place when the following are given: the primary fire, the fellow like him, and a quality common to both, be it red color or fierceness.' In the case: 'the fellow is fire', the fire is transmitted either a) as a genus or b) as an individual.
ubhayathāpy upacārābhāvaḥ /	Either way, transmission is impossible.
tatra tāvan na jāteḥ sādhāraṇaṃ kapilatvaṃ tīkṣṇatvaṃ vā / na ca sādhāraṇadharmābhāve māṇavake jāter upacāro yujyate 'tiprasaṅgāt / ataddharmatve 'pi jātes tīkṣṇatvakapilatvayor jātyavinābhāvitvān māṇavake jātyupacāro bhaviṣyati /	a) The gender does not have the common quality 'redness' or 'violence' (but the real fire), and in the absence of a common quality the gender cannot be transferred to the boy, because otherwise everything and everyone on him could be transferred.The opponent says: 'Even if the genus itself does not possess the quality of redness or intensity, it always occurs in connection with the genus, and so it becomes a transference of the genus to be the boy.'
jātyabhāve 'pi tīkṣṇatvakapilatvayor māṇavake darśanād avinābhāvitvam ayuktam /	(Response:) But one still sees fierceness or blushing in the lad, even when the gender is not present, so the Stetsin-connection-occurrence does not apply;
avinābhāvitve copacārābhāvo 'gnāv iva māṇavake 'pi jātisadbhāvāt /	but if this were the case, then there would be no transmission, because like fire, so too the boy would have the genus eo ipso.
tasmān na māṇavake jātyupacāraḥ saṃbhavati /	Therefore the transmission of genus to the boy is impossible.
nāpi dravyopacāraḥ sāmānyadharmābhāvāt /	b) The transmission of the individual is also not possible because there is no common property;
na hi yo 'gnes tīkṣṇo guṇaḥ kapilo vā sa eva māṇavake /	I.e. avinābhavitva exists between agni and agnitva, but not between these and mânavaka or māṇavakatva.
kiṃ tarhi tato 'nyaḥ / viśeṣasya svāśrayapratibaddhatvān na vināgniguṇenāgner māṇavake upacāro yuktaḥ /	Whose quality (as individually peculiar to him) is different from that; because each particularity (special or individual quality) is bound to its substratum, the transmission of fire to the fellow without the (special) quality of fire is impossible.
agniguṇasādṛśyād yukta iti cet / evam apy agniguṇasyaiva tīkṣṇasya kapilasya vā māṇavakaguṇe tīkṣṇe kapile vā sādṛśyād upacāro yukto na tu māṇavake 'gner guṇasādṛśyenāsaṃbandhāt	If the opponent asserts that it is possible because the quality of fire is similar (to that of the fellow), (we reply): if it were so, that blush or intensity, which is the quality of fire, could refer to that blush or fierceness, which is the fellow's quality, because of the resemblance (between these two qualities), but not to the fellow himself, because the fire is unrelated to the resemblance of his quality.
tasmād dravyopacāro 'pi naiva yujyate /	Therefore, a transfer of the individual is not possible.
mukhyo 'pi padārtho naivāsti tatsvarūpasya sarvajñānābhidhānaviṣayātikrāntatvāt / pradhāne hi guṇarūpeṇaiva jñānābhidhāne pravartete tatsvarūpāsaṃsparśāt /	There is no primary object at all, because its true nature lies beyond our knowledge and ability to express.For thinking and speaking only function with regard to the primary insofar as it appears in a secondary form, because they do not reach the true essence of that;
anyathā ca guṇavaiyarthyaprasaṅgaḥ /	if it were otherwise, the secondary would have no purpose.
na hi jñānābhidhānavyatirikto 'nyaḥ padārthasvarūpaparicchittyupāyo 'stīty ataḥ pradhānasvarūpaviṣayajñānābhidhānābhāvān naiva mukhyaḥ padārtho 'stīty avagantavyam /	There is no other means of knowing the essence of an object save our thinking and speaking; consequently, because there is no thought and speech whose object is the true essence of the primary, it must be recognized that there is no primary object.
evaṃ yāvac chabde saṃbandhābhāvāj jñānābhidhānābhāva evañ cābhidhānābhidheyābhāvān naiva mukhyaḥ padārtho 'sti /	What they are paramarthataḥ as parinişpannasvabhāva, ie as things in themselves, is unknowable to us.
api ca sarva evāyaṃ gauṇa eva na mukhyo 'sti /	the secondary is known to us, there is no primary for us.
gauṇo hi nāma yo yatrāvidyamānena rūpeṇa pravartate /	Namely, secondary is what is applied to something in an unreal form;
sarvaś ca śabdaḥ pradhāne 'vidyamānenaiva guṇarūpeṇa pravartate ato mukhyo nāsty eva /	and each word is applied to the primary only in an unreal form. Therefore there is no primary at all.
tatra yad uktaṃ asaty ātmani mukhye dharmeṣu copacāro na yukta iti tad ayuktam /	Consequently, the opponent's above assertion: 'If there were no primary self nor primary elements of existence, the transference would not be possible' is entirely untenable.
vijñānapariṇāmaḥ kati prabheda iti na jñāyate / atas tatprabhedopadarśanārtham āha / pariṇāmaḥ sa ca tridhā // 1d	Since it is not yet known how many modes of modification of consciousness there are, the author says, to teach their main modes: and the modification is threefold, whereupon the transference of a self and that of elements of existence takes place.
yatrātmādyupacāro dharmopacāraś ca sa punar hetubhāvena phalabhāvena ca bhidyate /	And this modification is different as causal or as effected.
tatra hetupariṇāmo yālayavijñāne vipākaniṣyandavāsanāparipuṣṭiḥ / phalapariṇāmaḥ punar vipākavāsanāvṛttilābhād ālayavijñānasya pūrvakarmākṣepaparisamāptau yā nikāyasabhāgāntareṣv abhinirvṛttiḥ / niṣyandavāsanāvṛttilābhāc ca yā pravṛttivijñānānāṃ kliṣṭasya ca manasa ālayavijñānād abhinirvṛttiḥ /	The causal modification is the intensity of the latent impressions of the karmic effect and of the uniform existence dormant in the primal consciousness.The effected modification consists in the fact that, on the one hand, as a result of the realization of the latent impressions of the karma effect, after which the earlier karma has had an effect, the primal consciousness appears in other existences, on the other hand, as a result of the realization of the latent. It means the secondary, e.g. B. with rūpa the relevant vijnanapariņāma.
tatra pravṛttivijñānaṃ kuśalākuśalam ālayavijñāne vipākavāsanāṃ niṣyandavāsanāñ cādhatte /	This uniform development, ie continuously the same existence, does not take place when the influence of morally good or bad deeds asserts itself.
avyākṛtaṃ kliṣṭañ ca mano niṣyandavāsanām eva /	These bring about a change in one's internal state, a maturation of action, which is called vipākṛṣṇa.
vipāko mananākhyaś ca vijñaptir viṣayasya ca / 2ab	When the vipaka is realized, it determines the external condition of the doer, be it at a later birth, be it in life as luck or misfortune.
iti / sa eṣa trividhaḥ pariṇāmo vipākākhyo mananākhyo viṣayavijñaptyākhyaś ca / tatra kuśalākuśalakarmavāsanāparipākavaśād yathākṣepaṃ phalābhinirvṛttir vipākaḥ / kliṣṭaṃ mano nityaṃ mananātmakatvān mananākhyam / rūpādiviṣayapratyavabhāsatvāc cakṣurādivijñānaṃ ṣaṭprakāram api viṣayavijñaptiḥ / tatsvarūpanirdeśam antareṇa na tat pratīyate ity ato yasya yat svarūpaṃ tad yathākramaṃ pradarśayann āha /	Until it is realized, the vipāka exists as a latent impression in the primal consciousness, see CC p.nikāya nikayasabhāgatā sāmānya genus cf CC p sabhāgântara individual existence cf impressions of uniform existence actual conceptions and the contaminated inner sense emerge from the primal consciousness The pravṛttivijnana be it morally good or bad lays down in the primordial consciousness latent impressions of both the effect of karma and of uniform existence but only the latter the morally indifferent contaminated inner sense Since the threefold modification mentioned above is so the author says in order to teach its types The karma effect which is called sense the inner sense and the pretense presentation of objects These are the three modifications that have the designations mentioned Of these the effect of karma consists in the fact that as a result of the maturing of the latent impressions of morally good or bad actions depending on whether they come into play the consequence of them emerges the defiled inner sense is called musing because it consists in constant musing and the illusion presentation of objects consists in the six classes of consciousness cakşurvijnana to manovijnanaAs this is not understood unless the are described, teaches in turn what the true essence of each is.
tatrālayākhyaṃ vijñānaṃ vipākaḥ sarvabījakam 2cd	Of these, karmic effect is the consciousness called the storehouse, which contains the germs of everything.
iti / tatreti yo 'yam anantaroktas trividhaḥ pariṇāmaḥ /	'From here' means: from the three modifications just mentioned.
ālayākhyam ity ālayavijñānasaṃjñakaṃ yad vijñānaṃ sa vipākapariṇāmaḥ /	The term 'store-room' means: the consciousness termed alayavijnana is the modification of karmic effect.
tac ca sarvasāṃkleśikadharmabījasthānatvād ālayaḥ /	It is a storehouse because it is the place where the seeds of all defiling dharmas are.
ālayaḥ sthānam iti paryāyau /	alaya and sthana are synonymous.
atha vālīyante upanibadhyante 'smin sarvadharmāḥ kāryabhāvena tad vālīyate upanibadhyate kāraṇabhāvena sarvadharmeṣv ity ālayaḥ /	The last six of the eighteen dhātus, cf. CC p. samkleśika CN p. lung aliyante 'to cling to', upanibadhyante 'to cling'; or that which clings to all dharmas as the cause of action.
vijānātīti vijñānam /	'Consciousness' because it knows.
sarvadhātugatiyonijātiṣu kuśalākuśalakarmavipākatvād vipākaḥ / sarvadharmabījāśrayatvāt sarvabījakam /	'Karma effect' because it is the effect of good and bad karma in all worlds, classes of beings, the special family and the tribe concerned.That contains the germs of everything', because it is the substratum for the germs of all dharmas.
yadi pravṛttivijñānavyatiriktam ālayavijñānam asti tato 'syālambanam ākāro vā vaktavyaḥ /	If there is an alayavijnana besides the pravṛttivijnanas, then its 'object' or 'form' must be pointed out.
na hi nirālambanaṃ nirākāraṃ vā vijñānaṃ yujyate / naiva tan nirālambanaṃ nirākāraṃ veṣyate /	For consciousness without 'object' and 'form' is not possible; In no way do we demand such a thing, but rather a consciousness whose 'object' and 'form' remain unrecognized.
kiṃ kāraṇam /	Why?
yasmād ālayavijñānaṃ dvidhā pravartate / adhyātmam upādānavijñaptito bahirdhāparicchinnākārabhājanavijñaptitaś ca /	Because the alayavijnana operates in two directions: towards the subject through pretense of the material, outwardly through pretense of the scene whose form remains unrecognized.
tatrādhyātmam upādānaṃ parikalpitasvabhāvābhiniveśavāsanā sādhiṣṭhānam indriyarūpaṃ nāma ca /	The material with regard to the subject is the latent impression left behind by the persistently practiced imagining of things of imaginary essence, the indriya together with its seat, matter and mind.
asyālambanasyātisūkṣmatvād	Because this object is of extreme delicacy,
asaṃviditakopādisthānavijñaptikañ ca tat / 3ab	The alayavijnana is not considered in cognition; that is the task of the pravrttivijnanas.
asaṃviditaka upādir yasmin asaṃviditakā ca sthānavijñaptir yasmin tad ālayavijñānam asaṃviditakopādisthānavijñaptikam / upādānam upādiḥ /	In it, both the material upadi and the presentation of a location remain unconscious. This is what the alayavijnana is called, in which both the material and the presentation of a location remain unconscious.Upadi is upadana.
sa punar ātmādivikalpavāsanā rūpādidharmavikalpavāsanā ca / tatsadbhāvād ālayavijñānenātmādivikalpo rūpādivikalpaś ca kāryatvenopātta iti tad vāsanātmādivikalpānāṃ rūpādivikalpānāñ copādir ity ucyate so 'sminn idaṃ tad iti pratisaṃvedanākāreṇāsaṃvidita ity atas tad asaṃviditakopādir ity ucyate /	This material consists in the latent impressions of the imaginary ideas of self etc. and the dharmas color etc. Because these impressions exist the alayavijnana has the imaginary ideas of self etc. and color etc. themselves as its product appropriated; hence the latent impression is said to be the material for the imaginary conceptions of self, etc. , and color, etc. 'In him the material remains unconscious' inasmuch as the individual does not become conscious in the form that he atman is in it and this is that (colour, etc.).
āśrayopādānañ copādiḥ / āśraya ātmabhāvaḥ sādhiṣṭhānam indriyarūpaṃ nāma ca /	Upadi is also appropriation of the substrate, by which is meant the individual existence, the indriya with its seat the body, matter and spirit namarupa.
tasya punar yad upādānam upagamanam ekayogakṣematvena tad upādiḥ /	The appropriation of it, the devotion to it as something absolutely similar is upadi.
tatra kāmarūpadhātvor dvayor nāmarūpayor upādānam / ārūpyadhātau tu rūpavītarāgatvād rūpavipākānabhinirvṛtter nāmopādānam eva / kin tu vāsanāvastham eva tatra rūpaṃ na vipākāvastham /	In Kama Dhātu and Rupa Dhātu, nama and rupa serve as material, but in Arūpya Dhatu only nama, because the 'effect' of rupa is not realized insofar as there the inclination raga for rupa has passed; however, there rupa is in the state of latent impression, but not in that of effect'.But this material is called unconscious, I take indriya as the collective name of the ayatana, and rūpam náma ca.
tat punar upādānam idantayā pratisaṃvedayitum aśakyam ity ato 'saṃvidita ity ucyate /	ekayogakşematvena. In philosophical language one encounters the expression tulyayogakşematvät in the meaning 'because it behaves quite similarly' e.g. B. Syadvadamanjari.
sthānavijñaptir bhājanalokasaṃniveśavijñaptiḥ /	The presentation of the location is that of the design of the setting and the world in question.
sāpy aparicchinnālambanākārapravṛttatvād asaṃviditety ucyate /	This too is called unconscious because it occurs without the object and form of it being recognized.
kathaṃ vijñānam aparicchinnālambanākāraṃ bhaviṣyatīti /	But how will there be a consciousness whose object and form is not known?
anyavijñānavādinām api nirodhasamāpattyādyavasthāsu tulyam etat / na ca nirodhasamāpattyādyavasthāsu vijñānaṃ naivāstīti śakyate pratipattum /	The same difficulty also exists for those who believe only in the other 'consciousness' regarding nirodhasamāpatti and other states.Nor can it be assumed that there is no consciousness in these at all, because it is contrary to reason and the Sutra.
tatrālayākhyaṃ vijñānam (2c) ity uktaṃ vijñānañ cāvaśyaṃ caittaiḥ saṃprayuktam ity ato vaktavyaṃ katamaiḥ katibhiś ca tebhyaḥ saṃprayujyate /	Since the alayavijnana is a vijnāna and as such is necessarily accompanied by mental elements, it must now be explained by which and how many mental elements it is always accompanied, and whether or not it is always accompanied by them.
uta nety ata āha / sadā sparśamanaskāravitsaṃjñācetanānvitam 3cd	Therefore says: It is always accompanied by sensation, attention, feeling, concept and will.
iti / sadeti yāvad ālayavijñānaṃ tāvad ebhiḥ sparśamanaskāravedanāsaṃjñācetanākhyaiḥ pañcabhiḥ sarvatragair dharmair anvitam / vedanā vit /	Always, ie as long as the alayavijnana exists, it is accompanied by the five ever-present elements mentioned.
tatra sparśas trikasaṃnipāte indriyavikāraparicchedaḥ / vedanāsaṃniśrayadānakarmakaḥ /	Sensation is the cognition of the change of the sense organ occurring at the meeting of the trinity, which produces the basis of feeling.
indriyaviṣayavijñānāni trīṇy eva trikam /	The trinity is the three elements: sense organ, object and consciousness;
tasya kāryakāraṇabhāvena samavasthānaṃ trikasaṃnipātaḥ /	when these are together in a causal relationship, it is the coincidence of the Trinity.
tasmin sati tatsamakālam evendriyasya sukhādivedanānukūlo yo vikāras tena [Tvbh_56] sadṛśo viṣayasya sukhādivedanīyākāraparicchedo yaḥ sa sparśaḥ	When this takes place, there occurs simultaneously the change of the sense-organ appropriate to the feeling of bliss, pain, etc. , and the similar cognition of the object in a form to be felt as bliss, etc. ;
indriyaṃ punar yena viśeṣeṇa sukhaduḥkhādihetutvaṃ pratipadyate sa tasya vikāraḥ /	But the change in the sense organ is that property of it by which it becomes the cause of pleasure, suffering, and so on.
sparśaḥ punar indriyavikārasādṛśyenendriyaṃ spṛśatīndriyeṇa vā spṛśyata iti sparśa ucyate / ata eva viṣayavikāraparicchedātmako 'pīndriyavikārapariccheda uktaḥ /	Lastly, sense-impression, owing to its resemblance to the change of the sense-organ, 'touches' or is 'touched' by it, hence it is called sparsa.That is why it is called knowledge of the change in the sense organ, although it consists in the knowledge of a change in the object.
vedanāsaṃniśrayatvam asya karma /	Its effect is to be the basis for feeling.
evaṃ hy uktaṃ sūtre sukhavedanīyaṃ sparśaṃ pratītyotpadyate sukhaṃ veditam iti vistaraḥ /	For this is what the Sūtra says: 'Depending on the sparsa to be felt as bliss, bliss arises as that which is felt', etc. The theory discussed here about sparśa, with which CC p. is not entirely transparent and clear.
manaskāraś cetasa ābhogaḥ /	Attention is the bending of the mind, whereby it is turned to its object.
ālambane yena cittam abhimukhīkriyate /	It causes the mind to become stuck to its object.
cittadhāraṇaṃ punas tatraivālambane punaḥ punaś cittasyāvarjanam /	The mind's fixation consists in focusing it again and again on its object.
etac ca karma cittasantater ālambananiyamena viśiṣṭaṃ manaskāram adhikṛtyoktaṃ na tu yaḥ praticittakṣaṇaṃ tasya hi pratikṣaṇam eva vyāpāro na kṣaṇāntare /	This effect applies to that attention which is characterized by the fixation of an object for the mind as a chain, but not to that which takes place in each individual moment of the mind; for the latter works in one moment, not in another.
vedanā anubhavasvabhāvā /	Feeling is essentially awareness.
sā punar viṣayasyāhlādakaparitāpakatadubhayākāraviviktasvarūpasākṣātkaraṇabhedāt tridhā bhavati / sukhā / duḥkhā / aduḥkhāsukhā ca /	According as the object is perceived as pleasurable, painful, or of a nature distinct from these two forms, the feeling is threefold: pleasant, unpleasant, neither pleasant nor unpleasant.
śubhāśubhānāṃ karmaṇāṃ phalavipākaṃ pratyanubhavanty anenety anubhavaḥ / tatra śubhānāṃ karmaṇāṃ sukho 'nubhavaḥ phalavipākaḥ / aśubhānāṃ duḥkhaḥ /	But others have the following view: 'Awareness is that by which one becomes aware of the effect of the fruit of right and wrong deeds in each case.The ripening of the fruit of right deeds is pleasant awareness, the unrighteous unpleasant, both but neither pleasant nor unpleasant.
atra cālayavijñānam eva śubhāśubhakarmavipākaḥ /	But the alayavijnana itself is the karmic effect of right and wrong actions;
tatsaṃprayuktaivopekṣā paramārthataḥ śubhāśubhānāṃ karmaṇāṃ phalavipākaḥ / sukhaduḥkhayos tu kuśalākuśalakarmavipākajatvād vipākopacāraḥ /	the indifference accompanying that is in truth the effect of the fruit of right and wrong actions; Pleasant and unpleasant awareness, however, are called effects in a figurative way because they arise from the effect of good or bad actions.
